"","Player","Span","Mat","Inns","Dis","Ct","St","Ct_Wk","Ct_Fi","MD","DI"
"580","TL Chatara (ZIM)","2016-2020","12","12","2","2","0","0","2","1 (1ct 0st)","0.166"
"581","G Chaturvedi (MLT)","2019-2020","5","5","2","2","0","0","2","2 (2ct 0st)","0.400"
"582","WJ Cope (LUX)","2020-2020","4","4","2","2","0","0","2","2 (2ct 0st)","0.500"
"583","F Damiao Couana (Moz)","2019-2019","7","6","2","2","0","0","2","1 (1ct 0st)","0.333"
"584","P Danci (ROM)","2019-2020","4","4","2","2","0","0","2","2 (2ct 0st)","0.500"
"585","S Davizi (CZK-R)","2019-2020","6","6","2","2","0","0","2","1 (1ct 0st)","0.333"
"586","LA Dawson (ENG)","2016-2018","6","6","2","2","0","0","2","1 (1ct 0st)","0.333"
"587","TB de Bruyn (SA)","2017-2017","2","2","2","2","0","0","2","2 (2ct 0st)","1.000"
"588","CD de Lange (SCOT)","2017-2017","4","4","2","2","0","0","2","1 (1ct 0st)","0.500"
"589","R Dhawan (INDIA)","2016-2016","1","1","2","2","0","0","2","2 (2ct 0st)","2.000"
"590","AB Dursak (TKY)","2019-2019","4","4","2","2","0","0","2","2 (2ct 0st)","0.500"
"591","L Emilio (Moz)","2019-2019","5","4","2","2","0","0","2","1 (1ct 0st)","0.500"
"592","GDR Eranga (CAN)","2019-2019","9","9","2","2","0","0","2","1 (1ct 0st)","0.222"
"593","Faisal Khan (Saudi)","2019-2020","7","7","2","2","0","0","2","1 (1ct 0st)","0.285"
"594","Faran Afzal (ESP)","2019-2019","9","9","2","2","0","0","2","1 (1ct 0st)","0.222"
"595","Fayyaz Butt (OMAN)","2019-2019","14","14","2","2","0","0","2","1 (1ct 0st)","0.142"
"596","A Ferguson (Arg)","2019-2019","5","5","2","2","0","0","2","1 (1ct 0st)","0.400"
"597","N Pradeep (SL)","2016-2021","15","15","2","2","0","0","2","1 (1ct 0st)","0.133"
"598","NJ Ferraby (JER)","2019-2019","14","14","2","2","0","0","2","1 (1ct 0st)","0.142"
"599","JD Freyone (GIBR)","2019-2019","4","4","2","2","0","0","2","2 (2ct 0st)","0.500"
"600","GC Galanis ()","2019-2019","2","2","2","2","0","0","2","1 (1ct 0st)","1.000"
"601","V Ganesan (GER)","2019-2020","6","6","2","2","0","0","2","1 (1ct 0st)","0.333"
"602","CJ Gannon (USA)","2019-2019","4","4","2","2","0","0","2","2 (2ct 0st)","0.500"
"603","R Gaznavi (SGP)","2019-2020","5","5","2","2","0","0","2","1 (1ct 0st)","0.400"
"604","Habib Ahmadzai (Aut)","2019-2019","2","2","2","2","0","0","2","1 (1ct 0st)","1.000"
"605","Jandu Hamoud (KUW)","2019-2019","6","6","2","2","0","0","2","1 (1ct 0st)","0.333"
"606","Haris Sohail (PAK)","2018-2019","10","10","2","2","0","0","2","2 (2ct 0st)","0.200"
"607","C Hauptfleisch (Caym)","2019-2019","5","5","2","1","1","1","0","1 (1ct 0st)","0.400"
"608","JR Hazlewood (AUS)","2016-2020","4","4","2","2","0","0","2","1 (1ct 0st)","0.500"
"609","Hazratullah Zazai (AFG)","2016-2020","15","15","2","2","0","0","2","1 (1ct 0st)","0.133"
"610","MC Henriques (AUS)","2016-2020","10","10","2","2","0","0","2","1 (1ct 0st)","0.200"
"611","L Hermida (Mex)","2019-2019","5","5","2","2","0","0","2","1 (1ct 0st)","0.400"
"612","D Heyliger (CAN)","2019-2019","11","11","2","2","0","0","2","1 (1ct 0st)","0.181"
"613","R Heyns (LUX)","2020-2020","2","2","2","2","0","0","2","2 (2ct 0st)","1.000"
"614","Hirenkumar Patel (Chile)","2019-2019","4","4","2","2","0","0","2","1 (1ct 0st)","0.500"
"615","S Hirugade (Mex)","2019-2019","6","6","2","2","0","0","2","1 (1ct 0st)","0.333"
"616","Z Hoque (THAI)","2019-2020","7","7","2","2","0","0","2","1 (1ct 0st)","0.285"
"617","Imran Anwar (BHR)","2019-2020","8","8","2","2","0","0","2","1 (1ct 0st)","0.250"
"618","Imran Ali (KUW)","2019-2019","4","4","2","2","0","0","2","2 (2ct 0st)","0.500"
"619","Imran Ali Butt (BHR)","2019-2020","8","8","2","1","1","1","0","1 (1ct 0st)","0.250"
"620","Ismat Ullah ()","2019-2019","4","4","2","2","0","0","2","1 (1ct 0st)","0.500"
"621","B Ivanov (BUL)","2019-2020","8","7","2","2","0","0","2","2 (2ct 0st)","0.285"
"622","Izatullah Dawlatzai (GER)","2019-2020","12","12","2","2","0","0","2","2 (2ct 0st)","0.166"
"623","DF Jacobs (THAI)","2019-2020","8","8","2","2","0","0","2","1 (1ct 0st)","0.250"
"624","GSNFG Jayasuriya (SL)","2016-2020","8","8","2","2","0","0","2","1 (1ct 0st)","0.250"
"625","Karweng NG (PHI)","2019-2019","4","4","2","2","0","0","2","2 (2ct 0st)","0.500"
"626","Khushdil Shah (PAK)","2019-2021","9","9","2","2","0","0","2","1 (1ct 0st)","0.222"
"627","M Klinger (AUS)","2017-2017","3","3","2","2","0","0","2","1 (1ct 0st)","0.666"
"628","JS Kundi (KENYA)","2019-2019","6","6","2","2","0","0","2","1 (1ct 0st)","0.333"
"629","S Kushretha (LUX)","2020-2020","4","4","2","2","0","0","2","1 (1ct 0st)","0.500"
"630","AV Lalcheta (OMAN)","2017-2019","6","6","2","2","0","0","2","1 (1ct 0st)","0.333"
"631","LC Le Tissier (GUE)","2019-2020","10","10","2","2","0","0","2","2 (2ct 0st)","0.200"
"632","JB Little (IRE)","2016-2020","17","17","2","2","0","0","2","1 (1ct 0st)","0.117"
"633","AR McBrine (IRE)","2016-2017","8","8","2","2","0","0","2","2 (2ct 0st)","0.250"
"634","W Madhevere (ZIM)","2020-2021","6","6","2","2","0","0","2","1 (1ct 0st)","0.333"
"635","NA Maiolo (ITA)","2019-2019","8","7","2","2","0","0","2","1 (1ct 0st)","0.285"
"636","JN Malan (SA)","2019-2021","5","5","2","2","0","0","2","1 (1ct 0st)","0.400"
"637","G Manan (ROM)","2019-2020","6","6","2","2","0","0","2","1 (1ct 0st)","0.333"
"638","A Manousis ()","2019-2019","3","3","2","2","0","0","2","1 (1ct 0st)","0.666"
"639","T Maruma (ZIM)","2016-2019","4","4","2","2","0","0","2","1 (1ct 0st)","0.500"
"640","WT Mashinge (ZIM)","2019-2019","2","2","2","2","0","0","2","2 (2ct 0st)","1.000"
"641","B Mavuta (ZIM)","2018-2021","4","4","2","2","0","0","2","1 (1ct 0st)","0.500"
"642","Mehran Khan (OMAN)","2017-2019","8","8","2","2","0","0","2","1 (1ct 0st)","0.250"
"643","SF Mire (ZIM)","2018-2019","9","9","2","2","0","0","2","1 (1ct 0st)","0.222"
"644","Mohammad Ghazanfar (HKG)","2019-2019","5","5","2","2","0","0","2","1 (1ct 0st)","0.400"
"645","Mohammed Asghar (KUW)","2019-2019","4","4","2","2","0","0","2","1 (1ct 0st)","0.500"
"646","Mohammed Nurji (MWI)","2019-2019","6","6","2","2","0","0","2","1 (1ct 0st)","0.333"
"647","CH Morris (SA)","2016-2019","15","15","2","2","0","0","2","1 (1ct 0st)","0.133"
"648","CB Mpofu (ZIM)","2018-2020","12","12","2","2","0","0","2","1 (1ct 0st)","0.166"
"649","Muhammad Nadeem (Saudi)","2019-2019","5","5","2","2","0","0","2","2 (2ct 0st)","0.400"
"650","Muhammad Younis (BHR)","2020-2020","3","3","2","2","0","0","2","2 (2ct 0st)","0.666"
"651","D Muhumuza (UGA)","2019-2020","7","7","2","2","0","0","2","1 (1ct 0st)","0.285"
"652","RG Mukasa (UGA)","2019-2020","6","6","2","2","0","0","2","1 (1ct 0st)","0.333"
"653","J Mulder (IRE)","2016-2017","8","8","2","2","0","0","2","1 (1ct 0st)","0.250"
"654","GBW Munaweera (QAT)","2019-2020","12","12","2","2","0","0","2","1 (1ct 0st)","0.166"
"655","G Murali (CRC)","2019-2019","3","3","2","2","0","2","0","1 (1ct 0st)","0.666"
"656","TK Musakanda (ZIM)","2018-2021","7","7","2","2","0","0","2","1 (1ct 0st)","0.285"
"657","Musawar Shah (QAT)","2019-2020","4","4","2","2","0","0","2","1 (1ct 0st)","0.500"
"658","LA Musiani (Arg)","2019-2019","5","5","2","2","0","0","2","1 (1ct 0st)","0.400"
"659","Muslim Yar (GER)","2019-2020","8","8","2","2","0","0","2","1 (1ct 0st)","0.250"
"660","CT Mutombodzi (ZIM)","2016-2020","12","12","2","2","0","0","2","1 (1ct 0st)","0.166"
"661","B Muzarabani (ZIM)","2018-2021","10","10","2","2","0","0","2","1 (1ct 0st)","0.200"
"662","Nadeem Ahmed (HKG)","2016-2017","4","4","2","2","0","0","2","2 (2ct 0st)","0.500"
"663","Nanda Kumar (CRC)","2019-2019","3","3","2","2","0","0","2","2 (2ct 0st)","0.666"
"664","N Nankov (BUL)","2019-2020","4","4","2","2","0","0","2","1 (1ct 0st)","0.500"
"665","Naseem Khushi (OMAN)","2017-2020","13","13","2","2","0","0","2","1 (1ct 0st)","0.153"
"666","Nawazish Jezuli (Saudi)","2019-2019","1","1","2","2","0","2","0","2 (2ct 0st)","2.000"
"667","Najmul Hossain Shanto (BDESH)","2019-2019","2","2","2","2","0","0","2","1 (1ct 0st)","1.000"
"668","Nazmul Islam (BDESH)","2018-2018","13","13","2","2","0","0","2","1 (1ct 0st)","0.153"
"669","Nazwan Ismail (Mald)","2019-2020","4","4","2","2","0","0","2","1 (1ct 0st)","0.500"
"670","K Nestor (GIBR)","2019-2019","4","4","2","2","0","0","2","1 (1ct 0st)","0.500"
"671","PM Nevill (AUS)","2016-2016","6","6","2","1","1","1","0","1 (1ct 0st)","0.333"
"672","L Ngidi (SA)","2017-2020","16","16","2","2","0","0","2","1 (1ct 0st)","0.125"
"673","TW Nightingale (GUE)","2020-2020","1","1","2","2","0","0","2","2 (2ct 0st)","2.000"
"674","G Nikitas ()","2019-2019","2","2","2","0","2","0","0","2 (0ct 2st)","1.000"
"675","D Nikolov (BUL)","2019-2020","7","7","2","2","0","0","2","1 (1ct 0st)","0.285"
"676","Noor Ali Zadran (AFG)","2016-2017","4","4","2","2","0","0","2","1 (1ct 0st)","0.500"
"677","Noor Momand (Belg)","2019-2019","2","2","2","2","0","2","0","1 (1ct 0st)","1.000"
"678","Nurul Hasan (BDESH)","2017-2017","3","3","2","2","0","2","0","1 (1ct 0st)","0.666"
"679","GH O'Brien (BMUDA)","2019-2019","8","8","2","2","0","0","2","1 (1ct 0st)","0.250"
"680","SA Okpe (NGA)","2019-2019","8","8","2","2","0","0","2","1 (1ct 0st)","0.250"
"681","LN Oluoch (KENYA)","2019-2019","9","9","2","2","0","0","2","1 (1ct 0st)","0.222"
"682","AA Onikoyi (NGA)","2019-2019","9","9","2","2","0","2","0","1 (1ct 0st)","0.222"
"683","HC Overdijk (NL)","2018-2019","4","3","2","2","0","0","2","2 (2ct 0st)","0.666"
"684","AM Oyede (NGA)","2019-2019","8","8","2","2","0","0","2","2 (2ct 0st)","0.250"
"685","AE Paraam (SGP)","2019-2019","3","3","2","2","0","0","2","1 (1ct 0st)","0.666"
"686","KMA Paul (WI)","2018-2020","20","20","2","2","0","0","2","1 (1ct 0st)","0.100"
"687","T Perera (Botsw)","2019-2019","6","6","2","2","0","0","2","1 (1ct 0st)","0.333"
"688","S Periyalwar (ROM)","2019-2020","6","6","2","2","0","0","2","1 (1ct 0st)","0.333"
"689","P Suanchuai (THAI)","2020-2020","4","4","2","1","1","1","0","1 (1ct 0st)","0.500"
"690","K Pierre (WI)","2018-2020","10","10","2","2","0","0","2","1 (1ct 0st)","0.200"
"691","JE Pitcher (BMUDA)","2019-2019","3","3","2","2","0","0","2","2 (2ct 0st)","0.666"
"692","A Poulose (OMAN)","2017-2017","3","3","2","2","0","0","2","1 (1ct 0st)","0.666"
"693","A Pusthay (Fin)","2019-2019","5","5","2","2","0","0","2","1 (1ct 0st)","0.400"
"694","Raag Kapur (HKG)","2019-2019","4","4","2","2","0","0","2","1 (1ct 0st)","0.500"
"695","AM Rahane (INDIA)","2016-2016","3","3","2","2","0","0","2","1 (1ct 0st)","0.666"
"696","S Rakshit (CZK-R)","2019-2019","6","6","2","2","0","0","2","1 (1ct 0st)","0.333"
"697","AT Rayudu (INDIA)","2016-2016","3","3","2","2","0","0","2","2 (2ct 0st)","0.666"
"698","GA Reynold (Blz)","2019-2019","3","3","2","2","0","0","2","2 (2ct 0st)","0.666"
"699","LH Rodrigues ()","2019-2019","4","4","2","2","0","0","2","1 (1ct 0st)","0.500"
"700","S Rossi (Arg)","2019-2019","5","5","2","2","0","0","2","1 (1ct 0st)","0.400"
"701","S Saeed (Mald)","2019-2019","5","5","2","2","0","0","2","2 (2ct 0st)","0.400"
"702","Sahibzada Farhan (PAK)","2018-2018","3","3","2","2","0","0","2","2 (2ct 0st)","0.666"
"703","J Salazar (Peru)","2019-2019","2","2","2","2","0","0","2","1 (1ct 0st)","1.000"
"704","DR Sams (AUS)","2020-2021","4","4","2","2","0","0","2","2 (2ct 0st)","0.500"
"705","R Sandaruwan (KUW)","2019-2020","15","15","2","2","0","0","2","1 (1ct 0st)","0.133"
"706","Saqib Zulfiqar (NL)","2018-2019","6","6","2","2","0","0","2","2 (2ct 0st)","0.333"
"707","Sarfaraz Ali (BHR)","2019-2020","8","8","2","2","0","0","2","1 (1ct 0st)","0.250"
"708","A Sathya (Mex)","2019-2019","3","3","2","2","0","0","2","1 (1ct 0st)","0.666"
"709","BV Save (MAL)","2020-2020","2","2","2","2","0","0","2","2 (2ct 0st)","1.000"
"710","Sayed Monib (KUW)","2020-2020","5","5","2","2","0","0","2","1 (1ct 0st)","0.400"
"711","Shaheryar Butt (Belg)","2019-2020","7","7","2","2","0","0","2","1 (1ct 0st)","0.285"
"712","Shaikh Ashraf (Peru)","2019-2019","4","4","2","2","0","0","2","2 (2ct 0st)","0.500"
"713","PH Shamdasani (Peru)","2019-2019","4","4","2","2","0","0","2","1 (1ct 0st)","0.500"
"714","V Shankar (INDIA)","2018-2019","9","9","2","2","0","0","2","1 (1ct 0st)","0.222"
"715","Shoaib Ali (Saudi)","2019-2020","8","8","2","2","0","0","2","2 (2ct 0st)","0.250"
"716","Shoaib Qureshi (Fin)","2019-2019","5","5","2","2","0","0","2","1 (1ct 0st)","0.400"
"717","Sikandar Raza (ZIM)","2016-2021","13","13","2","2","0","0","2","1 (1ct 0st)","0.153"
"718","Sikander Zulfiqar (NL)","2018-2019","9","9","2","2","0","0","2","1 (1ct 0st)","0.222"
"719","K Sinclair (WI)","2021-2021","3","3","2","2","0","0","2","1 (1ct 0st)","0.666"
"720","TAM Siriwardana (SL)","2016-2017","8","8","2","2","0","0","2","1 (1ct 0st)","0.250"
"721","S Smith (BMUDA)","2019-2019","5","5","2","2","0","2","0","1 (1ct 0st)","0.400"
"722","S Snater (NL)","2018-2019","13","12","2","2","0","0","2","1 (1ct 0st)","0.166"
"723","H Srinivasan (GER)","2019-2019","1","1","2","1","1","1","0","2 (1ct 1st)","2.000"
"724","F Stoman (PORT)","2019-2019","4","4","2","1","1","1","0","2 (1ct 1st)","0.500"
"725","DC Stovell (BMUDA)","2019-2019","6","6","2","2","0","0","2","1 (1ct 0st)","0.333"
"726","GM Strydom (Caym)","2019-2019","6","6","2","2","0","0","2","1 (1ct 0st)","0.333"
"727","JTS Sumerauer (JER)","2019-2019","8","8","2","2","0","0","2","1 (1ct 0st)","0.250"
"728","K Suttisan (THAI)","2019-2019","2","2","2","2","0","0","2","2 (2ct 0st)","1.000"
"729","Syazrul Idrus (MAL)","2019-2020","10","10","2","2","0","0","2","1 (1ct 0st)","0.200"
"730","Tahir Dar (BHR)","2019-2019","4","4","2","2","0","0","2","1 (1ct 0st)","0.500"
"731","RA Thomas (CAN)","2019-2019","8","8","2","2","0","0","2","1 (1ct 0st)","0.250"
"732","GJ Thompson (IRE)","2016-2019","10","10","2","2","0","0","2","1 (1ct 0st)","0.200"
"733","DT Tiripano (ZIM)","2016-2021","9","9","2","2","0","0","2","1 (1ct 0st)","0.222"
"734","T Tshose (Botsw)","2019-2019","2","2","2","2","0","0","2","1 (1ct 0st)","1.000"
"735","E Ul Haq (NOR)","2019-2019","5","5","2","2","0","0","2","1 (1ct 0st)","0.400"
"736","R Ulutuna (TKY)","2019-2019","4","4","2","2","0","2","0","2 (2ct 0st)","0.500"
"737","Umar Adam (Mald)","2019-2020","14","14","2","2","0","0","2","1 (1ct 0st)","0.142"
"738","R van der Merwe (Arg)","2019-2019","5","5","2","2","0","0","2","1 (1ct 0st)","0.400"
"739","Vichanath Singh (THAI)","2019-2020","8","8","2","2","0","0","2","1 (1ct 0st)","0.250"
"740","Vinod Kumar (ESP)","2019-2020","4","4","2","2","0","0","2","2 (2ct 0st)","0.500"
"741","Wahab Riaz (PAK)","2016-2020","18","18","2","2","0","0","2","1 (1ct 0st)","0.111"
"742","Waheed Ahmed (UAE)","2019-2020","15","15","2","2","0","0","2","1 (1ct 0st)","0.133"
"743","CD Wallace (SCOT)","2017-2019","11","11","2","2","0","1","1","1 (1ct 0st)","0.181"
"744","Washeem Abbas (MLT)","2019-2020","5","5","2","2","0","0","2","1 (1ct 0st)","0.400"
"745","SR Watson (AUS)","2016-2016","4","4","2","2","0","0","2","1 (1ct 0st)","0.500"
"746","D Wiese (SA)","2016-2016","3","3","2","2","0","0","2","1 (1ct 0st)","0.666"
"747","CG Williams (NAM)","2019-2019","13","13","2","2","0","0","2","1 (1ct 0st)","0.153"
"748","OR Willis (Caym)","2019-2019","3","3","2","1","1","0","1","1 (1ct 0st)","0.666"
"749","C Wright (Caym)","2019-2019","6","6","2","2","0","0","2","1 (1ct 0st)","0.333"
"750","Yasar Haroon ()","2019-2019","4","4","2","2","0","0","2","1 (1ct 0st)","0.500"
"751","Yusuf Ebrahim (PNM)","2019-2019","3","3","2","2","0","0","2","2 (2ct 0st)","0.666"
"752","Zishan Shah (DEN)","2019-2019","6","4","2","2","0","0","2","1 (1ct 0st)","0.500"
"753","M Abdulla (MWI)","2019-2019","5","5","1","1","0","0","1","1 (1ct 0st)","0.200"
"754","Abdul Shakoor (UAE)","2019-2019","2","2","1","0","1","0","0","1 (0ct 1st)","0.500"
"755","Abraash Khan (CAN)","2019-2019","7","7","1","1","0","0","1","1 (1ct 0st)","0.142"
"756","Abu Jayed (BDESH)","2018-2018","3","3","1","1","0","0","1","1 (1ct 0st)","0.333"
"757","AG Achar (SGP)","2019-2020","5","5","1","1","0","0","1","1 (1ct 0st)","0.200"
"758","VD Adewoye (NGA)","2019-2019","7","7","1","1","0","0","1","1 (1ct 0st)","0.142"
"759","Aftab Hussain (HKG)","2020-2020","9","9","1","1","0","0","1","1 (1ct 0st)","0.111"
"760","GJ Agius (MLT)","2019-2019","2","2","1","1","0","0","1","1 (1ct 0st)","0.500"
"761","P Agnihotri (NOR)","2019-2019","2","2","1","1","0","0","1","1 (1ct 0st)","0.500"
"762","SA Ahmad (DEN)","2019-2019","5","3","1","1","0","0","1","1 (1ct 0st)","0.333"
"763","Ahmed Hassan (Mald)","2019-2019","11","11","1","1","0","0","1","1 (1ct 0st)","0.090"
"764","Ahsan Malik (NL)","2017-2017","3","3","1","1","0","0","1","1 (1ct 0st)","0.333"
"765","Amar Sharma (MLT)","2020-2020","3","3","1","1","0","0","1","1 (1ct 0st)","0.333"
"766","Aminul Islam (BDESH)","2019-2020","7","7","1","1","0","0","1","1 (1ct 0st)","0.142"
"767","Anam Mollik (ITA)","2019-2019","2","2","1","1","0","0","1","1 (1ct 0st)","0.500"
"768","Anasim Khan (BHR)","2019-2020","8","8","1","1","0","0","1","1 (1ct 0st)","0.125"
"769","Aqib Iqbal (Aut)","2019-2019","5","5","1","1","0","0","1","1 (1ct 0st)","0.200"
"770","S Arachchige (ITA)","2019-2019","4","4","1","1","0","0","1","1 (1ct 0st)","0.250"
"771","Aritra Dutta (SGP)","2019-2019","8","8","1","1","0","0","1","1 (1ct 0st)","0.125"
"772","P Arora (Mex)","2019-2019","2","2","1","1","0","0","1","1 (1ct 0st)","0.500"
"773","Arsalan Arif (Aut)","2019-2019","1","1","1","0","1","0","0","1 (0ct 1st)","1.000"
"774","Arshad Mazarzei (Iran)","2020-2020","3","3","1","1","0","1","0","1 (1ct 0st)","0.333"
"775","U Aryaman Sunil (SGP)","2019-2020","5","5","1","1","0","0","1","1 (1ct 0st)","0.200"
"776","Asad Ali Rehemtulla (BUL)","2020-2020","3","3","1","1","0","0","1","1 (1ct 0st)","0.333"
"777","Ashiqullah Said (Belg)","2019-2020","7","7","1","1","0","0","1","1 (1ct 0st)","0.142"
"778","Aslam Mohammad ()","2019-2019","3","3","1","1","0","0","1","1 (1ct 0st)","0.333"
"779","TD Astle (NZ)","2019-2019","1","1","1","1","0","0","1","1 (1ct 0st)","1.000"
"780","SK Atai (PNG)","2019-2019","2","2","1","1","0","0","1","1 (1ct 0st)","0.500"
"781","V Ateak (Ghana)","2019-2019","4","4","1","1","0","0","1","1 (1ct 0st)","0.250"
"782","Atif Kamal (LUX)","2019-2019","4","4","1","1","0","0","1","1 (1ct 0st)","0.250"
"783","Avi Dixit (SGP)","2019-2019","1","1","1","1","0","0","1","1 (1ct 0st)","1.000"
"784","Babar Hayat (HKG)","2016-2017","4","4","1","1","0","0","1","1 (1ct 0st)","0.250"
"785","MO Bacarese (GIBR)","2019-2019","3","3","1","1","0","0","1","1 (1ct 0st)","0.333"
"786","KS Bagabena (Ghana)","2019-2019","4","4","1","1","0","0","1","1 (1ct 0st)","0.250"
"787","GJ Bailey (AUS/World)","2016-2017","2","2","1","1","0","0","1","1 (1ct 0st)","0.500"
"788","JD Baker (Samoa)","2019-2019","4","4","1","1","0","0","1","1 (1ct 0st)","0.250"
"789","G Bakiweyem (Ghana)","2019-2019","3","3","1","1","0","0","1","1 (1ct 0st)","0.333"
"790","Baljit Singh (ITA)","2019-2019","8","7","1","1","0","0","1","1 (1ct 0st)","0.142"
"791","JT Ball (ENG)","2018-2018","2","2","1","1","0","0","1","1 (1ct 0st)","0.500"
"792","KNA Bandara (SL)","2021-2021","3","3","1","1","0","0","1","1 (1ct 0st)","0.333"
"793","S Bantzas ()","2019-2019","1","1","1","1","0","0","1","1 (1ct 0st)","1.000"
"794","P Baron (Arg)","2019-2019","5","5","1","1","0","0","1","1 (1ct 0st)","0.200"
"795","OO Bascome (BMUDA)","2019-2019","2","2","1","1","0","0","1","1 (1ct 0st)","0.500"
"796","SR Bhudia (KENYA)","2019-2019","4","4","1","1","0","0","1","1 (1ct 0st)","0.250"
"797","D Bishoo (WI)","2019-2019","2","2","1","1","0","0","1","1 (1ct 0st)","0.500"
"798","TA Blundell (NZ)","2017-2018","3","3","1","1","0","1","0","1 (1ct 0st)","0.333"
"799","SM Boland (AUS)","2016-2016","1","1","1","1","0","0","1","1 (1ct 0st)","1.000"
"800","PW Borren (NL)","2017-2017","3","3","1","1","0","0","1","1 (1ct 0st)","0.333"
"801","N Buckle (GUE)","2019-2019","3","3","1","1","0","0","1","1 (1ct 0st)","0.333"
"802","J Bulele (Moz)","2019-2019","7","6","1","1","0","0","1","1 (1ct 0st)","0.166"
"803","DE Burgess (Samoa)","2019-2019","4","4","1","1","0","0","1","1 (1ct 0st)","0.250"
"804","JA Burrows (IOM)","2020-2020","1","1","1","1","0","0","1","1 (1ct 0st)","1.000"
"805","JD Campbell (WI)","2019-2019","2","2","1","1","0","0","1","1 (1ct 0st)","0.500"
"806","PVD Chameera (SL)","2016-2021","11","11","1","1","0","0","1","1 (1ct 0st)","0.090"
"807","P Chandran (Mex)","2019-2019","3","3","1","1","0","0","1","1 (1ct 0st)","0.333"
"808","N Chejay (BHU)","2019-2019","1","1","1","1","0","0","1","1 (1ct 0st)","1.000"
"809","CJ Chibhabha (ZIM)","2016-2020","9","9","1","1","0","0","1","1 (1ct 0st)","0.111"
"810","TS Chisoro (ZIM)","2018-2020","7","7","1","1","0","0","1","1 (1ct 0st)","0.142"
"811","PD Collingwood (World)","2017-2017","1","1","1","1","0","0","1","1 (1ct 0st)","1.000"
"812","M Cope (LUX)","2019-2020","6","6","1","1","0","0","1","1 (1ct 0st)","0.166"
"813","J Cutinho (CRC)","2019-2019","3","3","1","1","0","0","1","1 (1ct 0st)","0.333"
"814","DK Dahani (Iran)","2020-2020","3","3","1","1","0","0","1","1 (1ct 0st)","0.333"
"815","DK Dahyabhai Ahir (PNM)","2019-2019","2","2","1","1","0","0","1","1 (1ct 0st)","0.500"
"816","S Dalton (CZK-R)","2019-2019","2","2","1","1","0","0","1","1 (1ct 0st)","0.500"
"817","H Dandapani (Fin)","2019-2019","5","5","1","1","0","0","1","1 (1ct 0st)","0.200"
"818","CJ Delany (GIBR)","2019-2019","4","4","1","1","0","0","1","1 (1ct 0st)","0.250"
"819","PC de Silva (SL)","2017-2017","2","2","1","1","0","0","1","1 (1ct 0st)","0.500"
"820","S Desungnoen (THAI)","2020-2020","2","2","1","1","0","0","1","1 (1ct 0st)","0.500"
"821","M Dixit (LUX)","2019-2020","5","5","1","1","0","0","1","1 (1ct 0st)","0.200"
"822","LA Dunbar (Serb)","2019-2019","2","2","1","1","0","1","0","1 (1ct 0st)","0.500"
"823","BR Dunk (AUS)","2017-2017","2","2","1","1","0","0","1","1 (1ct 0st)","0.500"
"824","G Dutta (Mex)","2019-2019","7","7","1","1","0","0","1","1 (1ct 0st)","0.142"
"825","GD Elliott (NZ/World)","2016-2017","5","5","1","1","0","0","1","1 (1ct 0st)","0.200"
"826","Emran Shahbakhsh (Iran)","2020-2020","3","3","1","1","0","0","1","1 (1ct 0st)","0.333"
"827","L Evile (Samoa)","2019-2019","4","4","1","1","0","0","1","1 (1ct 0st)","0.250"
"828","M Faheem (THAI)","2019-2020","7","7","1","1","0","0","1","1 (1ct 0st)","0.142"
"829","Fareed Ahmad (AFG)","2016-2021","15","15","1","1","0","0","1","1 (1ct 0st)","0.066"
"830","JA Fitzgerald (GIBR)","2019-2019","4","4","1","1","0","0","1","1 (1ct 0st)","0.250"
"831","BT Foakes (ENG)","2019-2019","1","1","1","1","0","1","0","1 (1ct 0st)","1.000"
"832","BC Fortuin (SA)","2019-2021","6","6","1","1","0","0","1","1 (1ct 0st)","0.166"
"833","TS Fray (BMUDA)","2019-2019","10","10","1","1","0","0","1","1 (1ct 0st)","0.100"
"834","C Fry (LUX)","2019-2019","3","3","1","1","0","0","1","1 (1ct 0st)","0.333"
"835","R Frylinck (SA)","2017-2018","3","3","1","1","0","0","1","1 (1ct 0st)","0.333"
"836","Gershon Yusuf (NGA)","2019-2019","1","1","1","1","0","0","1","1 (1ct 0st)","1.000"
"837","K Gilham (CZK-R)","2020-2020","4","4","1","1","0","0","1","1 (1ct 0st)","0.250"
"838","R Goodwin (PHI)","2019-2019","4","4","1","1","0","0","1","1 (1ct 0st)","0.250"
"839","JOA Gordon (CAN)","2019-2019","5","5","1","1","0","0","1","1 (1ct 0st)","0.200"
"840","K Gore (USA)","2019-2019","4","4","1","1","0","0","1","1 (1ct 0st)","0.250"
"841","S Goud (CZK-R)","2019-2019","1","1","1","1","0","0","1","1 (1ct 0st)","1.000"
"842","Hafez Farooq (Peru)","2019-2019","4","4","1","1","0","0","1","1 (1ct 0st)","0.250"
"843","OJ Hairs (SCOT)","2019-2019","8","8","1","1","0","0","1","1 (1ct 0st)","0.125"
"844","Hamed Khan (HKG)","2020-2020","3","3","1","1","0","0","1","1 (1ct 0st)","0.333"
"845","Hamza Dar (ESP)","2019-2019","1","1","1","1","0","0","1","1 (1ct 0st)","1.000"
"846","Haroon Mughal (MLT)","2019-2020","7","7","1","1","0","0","1","1 (1ct 0st)","0.142"
"847","Hashmatullah Shahidi (AFG)","2021-2021","1","1","1","1","0","0","1","1 (1ct 0st)","1.000"
