"","Player","Span","Mat","Inns","Dis","Ct","St","Ct_Wk","Ct_Fi","MD","DI"
"176","DJ Bravo (WI)","2016-2021","18","18","7","7","0","0","7","2 (2ct 0st)","0.388"
"177","NM Coulter-Nile (AUS)","2016-2019","15","14","7","7","0","0","7","2 (2ct 0st)","0.500"
"178","LB Ferbrache (GUE)","2019-2020","10","10","7","7","0","0","7","2 (2ct 0st)","0.700"
"179","Fiaz Ahmed (BHR)","2019-2020","8","8","7","7","0","0","7","2 (2ct 0st)","0.875"
"180","S Gajjar (CZK-R)","2020-2020","3","3","7","4","3","3","1","3 (2ct 1st)","2.333"
"181","Hasan Ali (PAK)","2016-2021","31","31","7","7","0","0","7","1 (1ct 0st)","0.225"
"182","AW Hawkins-Kay (JER)","2019-2019","16","16","7","7","0","0","7","2 (2ct 0st)","0.437"
"183","Hilal Ahmad (CZK-R)","2019-2020","10","10","7","7","0","6","1","3 (3ct 0st)","0.700"
"184","DJ Malan (ENG)","2017-2021","23","22","7","7","0","0","7","2 (2ct 0st)","0.318"
"185","J Mees (LUX)","2019-2020","8","8","7","6","1","4","2","2 (2ct 0st)","0.875"
"186","Mehidy Hasan Miraz (BDESH)","2017-2018","13","13","7","7","0","0","7","2 (2ct 0st)","0.538"
"187","Mohammad Nadeem (OMAN)","2017-2020","23","23","7","7","0","0","7","3 (3ct 0st)","0.304"
"188","AK Mohan (Fin)","2019-2019","5","5","7","5","2","3","2","3 (2ct 1st)","1.400"
"189","K Motlhanka (Botsw)","2019-2019","7","7","7","3","4","3","0","4 (2ct 2st)","1.000"
"190","KH Pandya (INDIA)","2018-2019","18","18","7","7","0","0","7","2 (2ct 0st)","0.388"
"191","AL Phehlukwayo (SA)","2017-2021","30","30","7","7","0","0","7","2 (2ct 0st)","0.233"
"192","Saber Zakhil (Belg)","2019-2020","7","7","7","7","0","0","7","2 (2ct 0st)","1.000"
"193","P Sarraf (NEPAL)","2019-2020","12","12","7","7","0","0","7","4 (4ct 0st)","0.583"
"194","Shaiman Anwar (UAE)","2016-2019","14","14","7","7","0","0","7","2 (2ct 0st)","0.500"
"195","Simi Singh (IRE)","2018-2020","24","24","7","7","0","0","7","2 (2ct 0st)","0.291"
"196","Sompal Kami (NEPAL)","2018-2019","17","17","7","7","0","0","7","2 (2ct 0st)","0.411"
"197","MA Starc (AUS)","2016-2020","15","15","7","7","0","0","7","2 (2ct 0st)","0.466"
"198","R Tari (VAN)","2019-2019","14","14","7","7","0","0","7","2 (2ct 0st)","0.500"
"199","TP Ura (PNG)","2017-2019","20","20","7","7","0","0","7","2 (2ct 0st)","0.350"
"200","T van der Gugten (NL)","2017-2019","17","17","7","7","0","0","7","2 (2ct 0st)","0.411"
"201","PA van Meekeren (NL)","2017-2019","26","25","7","7","0","0","7","2 (2ct 0st)","0.280"
"202","SC Williams (ZIM)","2018-2021","19","19","7","7","0","0","7","2 (2ct 0st)","0.368"
"203","Yasir Ali (ESP)","2019-2020","11","11","7","7","0","0","7","2 (2ct 0st)","0.636"
"204","A Zampa (AUS)","2016-2021","39","38","7","7","0","0","7","2 (2ct 0st)","0.184"
"205","Zeeshan Maqsood (OMAN)","2017-2020","19","19","7","7","0","0","7","2 (2ct 0st)","0.368"
"206","Aarif Sheikh (NEPAL)","2018-2020","14","14","6","6","0","0","6","1 (1ct 0st)","0.428"
"207","FA Allen (WI)","2018-2021","19","18","6","6","0","0","6","2 (2ct 0st)","0.333"
"208","CJ Anderson (NZ)","2016-2018","10","10","6","6","0","0","6","2 (2ct 0st)","0.600"
"209","SE Aquilina (MLT)","2019-2020","7","7","6","2","4","2","0","2 (0ct 2st)","0.857"
"210","Awais Ahmed (ESP)","2019-2020","11","11","6","5","1","5","0","1 (1ct 0st)","0.545"
"211","T Banton (ENG)","2019-2020","9","8","6","6","0","0","6","2 (2ct 0st)","0.750"
"212","S Bau (PNG)","2017-2019","20","20","6","6","0","0","6","3 (3ct 0st)","0.300"
"213","T Bavuma (SA)","2019-2020","8","8","6","6","0","0","6","3 (3ct 0st)","0.750"
"214","JJ Bumrah (INDIA)","2016-2020","38","37","6","6","0","0","6","2 (2ct 0st)","0.162"
"215","E Chigumbura (ZIM)","2016-2020","13","13","6","6","0","0","6","2 (2ct 0st)","0.461"
"216","KJ Coetzer (SCOT)","2017-2019","23","23","6","6","0","0","6","1 (1ct 0st)","0.260"
"217","FA Cossa (Moz)","2019-2019","6","5","6","6","0","0","6","3 (3ct 0st)","1.200"
"218","PJ Cummins (AUS)","2017-2020","15","15","6","6","0","0","6","1 (1ct 0st)","0.400"
"219","A Dananjaya (SL)","2017-2021","20","20","6","6","0","0","6","1 (1ct 0st)","0.300"
"220","AB de Villiers (SA)","2016-2017","11","11","6","6","0","0","6","2 (2ct 0st)","0.545"
"221","Ehsan Khan (HKG)","2016-2020","23","23","6","6","0","0","6","1 (1ct 0st)","0.260"
"222","ADS Fletcher (WI)","2016-2020","21","20","6","6","0","2","4","1 (1ct 0st)","0.300"
"223","Gulbadin Naib (AFG)","2016-2020","22","22","6","6","0","0","6","1 (1ct 0st)","0.272"
"224","SD Hope (WI)","2017-2019","13","13","6","6","0","6","0","2 (2ct 0st)","0.461"
"225","Imran Ismail (Moz)","2019-2019","7","6","6","6","0","5","1","2 (2ct 0st)","1.000"
"226","Jatinder Singh (OMAN)","2019-2020","17","17","6","6","0","0","6","1 (1ct 0st)","0.352"
"227","Kamran Khan (QAT)","2019-2020","21","21","6","6","0","0","6","2 (2ct 0st)","0.285"
"228","Karim Janat (AFG)","2016-2021","25","25","6","6","0","0","6","2 (2ct 0st)","0.240"
"229","EB Knowles (CZK-R)","2019-2020","11","11","6","6","0","2","4","4 (4ct 0st)","0.545"
"230","ND Laegsgaard (DEN)","2019-2019","9","7","6","6","0","0","6","3 (3ct 0st)","0.857"
"231","MR Marsh (AUS)","2016-2021","13","13","6","6","0","0","6","2 (2ct 0st)","0.461"
"232","PK Matautaava (VAN)","2019-2019","10","10","6","6","0","0","6","3 (3ct 0st)","0.600"
"233","BKG Mendis (SL)","2016-2020","26","26","6","6","0","0","6","1 (1ct 0st)","0.230"
"234","Mohammad Nawaz (3) (PAK)","2016-2021","17","17","6","6","0","0","6","1 (1ct 0st)","0.352"
"235","Mosaddek Hossain (BDESH)","2017-2019","13","13","6","6","0","0","6","2 (2ct 0st)","0.461"
"236","Muhammad Tanveer (QAT)","2019-2020","22","22","6","6","0","0","6","2 (2ct 0st)","0.272"
"237","C Munoz-Mills (ESP)","2019-2020","11","11","6","6","0","0","6","2 (2ct 0st)","0.545"
"238","CO Obuya (KENYA)","2019-2019","9","9","6","6","0","0","6","2 (2ct 0st)","0.666"
"239","R Panchal (ESP)","2019-2020","11","11","6","6","0","0","6","2 (2ct 0st)","0.545"
"240","HH Patel (MWI)","2019-2019","7","7","6","6","0","0","6","2 (2ct 0st)","0.857"
"241","RR Patel (KENYA)","2019-2019","8","8","6","6","0","0","6","2 (2ct 0st)","0.750"
"242","CW Perchard (JER)","2019-2019","15","15","6","6","0","0","6","1 (1ct 0st)","0.400"
"243","BBJL Perera (ITA)","2019-2019","8","7","6","6","0","0","6","3 (3ct 0st)","0.857"
"244","Aminuddin Ramly (MAL)","2019-2020","19","18","6","6","0","0","6","2 (2ct 0st)","0.333"
"245","Rehman Abdul (ITA)","2019-2019","7","6","6","6","0","0","6","2 (2ct 0st)","1.000"
"246","S Samarawickrama (SL)","2017-2019","7","7","6","4","2","3","1","2 (1ct 1st)","0.857"
"247","PADLR Sandakan (SL)","2017-2021","19","19","6","6","0","0","6","2 (2ct 0st)","0.315"
"248","Shafraz Jaleel (Mald)","2019-2019","4","4","6","4","2","4","0","3 (3ct 0st)","1.500"
"249","HAM Shah (DEN)","2019-2019","9","7","6","6","0","0","6","3 (3ct 0st)","0.857"
"250","Shahid Wasif (HKG)","2016-2020","18","18","6","6","0","0","6","2 (2ct 0st)","0.333"
"251","Syed Aziz (MAL)","2019-2020","23","22","6","6","0","0","6","1 (1ct 0st)","0.272"
"252","Tamim Iqbal (BDESH/ICC/World)","2016-2020","28","28","6","6","0","0","6","2 (2ct 0st)","0.214"
"253","Usman Ghani (AFG)","2016-2021","13","13","6","6","0","0","6","2 (2ct 0st)","0.461"
"254","MS Wade (AUS)","2016-2021","13","13","6","6","0","6","0","2 (2ct 0st)","0.461"
"255","CA Young (IRE)","2016-2020","22","22","6","6","0","0","6","2 (2ct 0st)","0.272"
"256","F Achelam (UGA)","2019-2020","4","4","5","4","1","4","0","4 (3ct 1st)","1.250"
"257","KK Ahuja (Mex)","2019-2019","8","8","5","2","3","1","1","2 (0ct 2st)","0.625"
"258","PS Airee (NEPAL)","2019-2019","4","4","5","4","1","3","1","2 (2ct 0st)","1.250"
"259","MM Ali (ENG)","2016-2020","21","20","5","5","0","0","5","2 (2ct 0st)","0.250"
"260","Ariful Haque (BDESH)","2018-2018","9","9","5","5","0","0","5","1 (1ct 0st)","0.555"
"261","Asad Mohammad (GER)","2019-2020","10","10","5","5","0","0","5","1 (1ct 0st)","0.500"
"262","MNM Aslam (KUW)","2019-2020","11","11","5","5","0","0","5","1 (1ct 0st)","0.454"
"263","SJ Baard (NAM)","2019-2019","13","13","5","5","0","0","5","2 (2ct 0st)","0.384"
"264","J Barker (LUX)","2019-2020","7","7","5","5","0","0","5","2 (2ct 0st)","0.714"
"265","O Bascome (BMUDA)","2019-2019","11","11","5","4","1","2","2","2 (2ct 0st)","0.454"
"266","Bilal Tahir (KUW)","2019-2020","7","7","5","5","0","0","5","1 (1ct 0st)","0.714"
"267","A Bohara (NEPAL)","2019-2020","20","20","5","5","0","0","5","1 (1ct 0st)","0.250"
"268","S Browne (LUX)","2020-2020","4","4","5","5","0","0","5","2 (2ct 0st)","1.250"
"269","MS Chapman (NZ)","2018-2021","8","8","5","5","0","0","5","2 (2ct 0st)","0.625"
"270","PKD Chase (IRE)","2018-2019","12","12","5","5","0","0","5","2 (2ct 0st)","0.416"
"271","DP Conway (NZ)","2020-2021","11","11","5","5","0","0","5","2 (2ct 0st)","0.454"
"272","K Dasan (BUL)","2019-2020","10","9","5","3","2","2","1","2 (1ct 1st)","0.555"
"273","PWH de Silva (SL)","2019-2021","16","15","5","5","0","0","5","1 (1ct 0st)","0.333"
"274","NS Dhaliwal (CAN)","2019-2019","12","12","5","5","0","0","5","1 (1ct 0st)","0.416"
"275","AC Douglas (BMUDA)","2019-2019","10","10","5","5","0","0","5","3 (3ct 0st)","0.500"
"276","Fahad Ali ()","2019-2019","3","3","5","4","1","2","2","3 (2ct 1st)","1.666"
"277","Faisal Javed (QAT)","2019-2019","15","15","5","5","0","0","5","1 (1ct 0st)","0.333"
"278","JP Faulkner (AUS)","2016-2017","9","9","5","5","0","0","5","2 (2ct 0st)","0.555"
"279","Fitri Sham (MAL)","2019-2020","22","21","5","5","0","0","5","1 (1ct 0st)","0.238"
"280","NA Greenwood (JER)","2019-2019","8","8","5","5","0","0","5","3 (3ct 0st)","0.625"
"281","DAS Gunaratne (SL)","2017-2017","11","11","5","5","0","0","5","2 (2ct 0st)","0.454"
"282","S Hallett (Peru)","2019-2019","4","4","5","4","1","4","0","3 (3ct 0st)","1.250"
"283","Hussain Talat (PAK)","2018-2021","18","18","5","5","0","0","5","3 (3ct 0st)","0.277"
"284","Ibrahim Hassan (Mald)","2019-2020","14","14","5","5","0","0","5","2 (2ct 0st)","0.357"
"285","Imran Haider (ROM)","2019-2020","3","3","5","3","2","3","0","3 (2ct 1st)","1.666"
"286","RA Jadeja (INDIA)","2016-2020","17","17","5","5","0","0","5","2 (2ct 0st)","0.294"
"287","Jagjit Singh (Peru)","2019-2019","4","4","5","5","0","0","5","3 (3ct 0st)","1.250"
"288","S Jamil (Belg)","2019-2020","6","6","5","5","0","4","1","2 (2ct 0st)","0.833"
"289","KM Jarvis (ZIM)","2018-2019","13","13","5","5","0","0","5","1 (1ct 0st)","0.384"
"290","Junaid Sheikh (NOR)","2019-2019","5","5","5","5","0","0","5","2 (2ct 0st)","1.000"
"291","D Kansonkho (MWI)","2019-2019","7","7","5","5","0","0","5","2 (2ct 0st)","0.714"
"292","JP Kotze (NAM)","2019-2019","12","12","5","5","0","0","5","2 (2ct 0st)","0.416"
"293","SC Kuggeleijn (NZ)","2019-2020","16","16","5","5","0","0","5","2 (2ct 0st)","0.312"
"294","NR Kumar (CAN)","2019-2019","12","12","5","5","0","0","5","2 (2ct 0st)","0.416"
"295","JS Malhotra (USA)","2019-2019","6","6","5","2","3","2","0","2 (0ct 2st)","0.833"
"296","SL Malinga (SL)","2017-2020","22","21","5","5","0","0","5","2 (2ct 0st)","0.238"
"297","A Mansale (VAN)","2019-2019","14","14","5","5","0","0","5","2 (2ct 0st)","0.357"
"298","EJB Miles (JER)","2019-2019","14","14","5","5","0","0","5","2 (2ct 0st)","0.357"
"299","Mohamed Rishwan (Mald)","2019-2020","14","14","5","5","0","0","5","2 (2ct 0st)","0.357"
"300","Mohammad Hafeez (PAK)","2016-2020","23","23","5","5","0","0","5","2 (2ct 0st)","0.217"
"301","Mohammed Nadeem (QAT)","2019-2020","22","22","5","5","0","0","5","2 (2ct 0st)","0.227"
"302","Murid Ekrami (Belg)","2019-2020","7","7","5","5","0","0","5","2 (2ct 0st)","0.714"
"303","JDS Neesham (NZ)","2017-2021","16","16","5","5","0","0","5","2 (2ct 0st)","0.312"
"304","R Nehonde (Botsw)","2019-2019","7","7","5","5","0","0","5","3 (3ct 0st)","0.714"
"305","OE Newey (GUE)","2019-2019","7","7","5","4","1","4","0","2 (2ct 0st)","0.714"
"306","AR Nurse (WI)","2017-2019","9","9","5","5","0","0","5","2 (2ct 0st)","0.555"
"307","CN Onwuzulike (NGA)","2019-2019","9","9","5","5","0","0","5","3 (3ct 0st)","0.555"
"308","MD Patel (USA)","2019-2019","8","8","5","3","2","1","2","2 (1ct 1st)","0.625"
"309","NK Patel (USA)","2019-2019","4","4","5","5","0","0","5","2 (2ct 0st)","1.250"
"310","Pavandeep Singh (MAL)","2019-2020","19","19","5","5","0","0","5","2 (2ct 0st)","0.263"
"311","LE Plunkett (ENG)","2016-2019","19","19","5","5","0","0","5","1 (1ct 0st)","0.263"
