team_name,Player_name,NATIONALITY,Mat,Inns,Runs,Overs,SR,St,Wkts,4,5,Season,Mdns,Econ,Ave,dream_11_points,consistency
KXIP,CHGayle,INT,101.0,37.0,724.0,90.9,202.0,0.0,18.0,0.0,0.0,older_season,0.0,61.85,257.33,642.0,17.35135135135135
KKR,KuldeepYadav,IND,30.0,29.0,,96.2,,0.0,22.0,1.0,0.0,New_season,0.0,24.46,,630.0,21.724137931034484
SRH,SKaul,IND,21.0,21.0,596.0,69.9,85.0,0.0,22.0,1.0,0.0,older_season,2.0,25.880000000000003,124.25,614.0,29.238095238095237
RCB,VKohli,IND,149.0,26.0,368.0,41.1,74.0,0.0,4.0,0.0,0.0,older_season,0.0,67.93,100.0,590.0,22.692307692307693
RR,RTewatia,IND,27.0,25.0,,74.2,,0.0,18.0,0.0,0.0,New_season,0.0,21.57,,588.0,23.52
DC,ANortje,INT,16.0,16.0,,61.0,,0.0,22.0,0.0,0.0,New_season,0.0,8.39,,582.0,36.375
SRH,MRMarsh,INT,20.0,18.0,414.0,52.3,72.1,0.0,20.0,1.0,0.0,older_season,0.0,30.19,95.39,570.0,31.666666666666668
DC,SDhawan,IND,127.0,6.0,66.0,8.0,24.0,0.0,4.0,0.0,0.0,older_season,0.0,14.66,29.33,560.0,93.33333333333333
CSK,LNgidi,INT,11.0,11.0,,42.0,,0.0,20.0,1.0,0.0,New_season,2.0,16.43,,540.0,49.09090909090909
RR,BAStokes,INT,30.0,24.0,,68.5,,0.0,16.0,0.0,0.0,New_season,1.0,29.659999999999997,,526.0,21.916666666666668
KXIP,MAshwin,IND,21.0,21.0,,72.3,,0.0,18.0,0.0,0.0,New_season,0.0,22.53,,506.0,24.095238095238095
DC,MPStoinis,INT,34.0,25.0,,56.8,,0.0,18.0,0.0,0.0,New_season,0.0,29.130000000000003,,504.0,20.16
RCB,AZampa,INT,11.0,11.0,278.0,36.5,0.0,0.0,19.0,0.0,1.0,older_season,0.0,14.97,32.86,493.0,44.81818181818182
RCB,KWRichardson,INT,14.0,14.0,443.0,52.5,65.5,0.0,18.0,0.0,0.0,older_season,0.0,25.86,92.8,490.0,35.0
KKR,MPrasidhKrishna,IND,24.0,24.0,,85.5,,0.0,18.0,1.0,0.0,New_season,0.0,27.989999999999995,,490.0,20.416666666666668
KKR,CVVarun,IND,14.0,14.0,,55.0,,0.0,18.0,0.0,1.0,New_season,0.0,18.5,,488.0,34.857142857142854
RCB,NASaini,IND,26.0,26.0,,93.4,,0.0,17.0,0.0,0.0,New_season,1.0,16.56,,477.0,18.346153846153847
DC,CRWoakes,INT,13.0,13.0,386.0,44.0,15.5,0.0,17.0,0.0,0.0,older_season,0.0,8.77,22.7,473.0,36.38461538461539
SRH,DAWarner,INT,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,470.0,inf
SRH,RashidKhan,INT,14.0,14.0,358.0,54.0,19.0,0.0,17.0,0.0,0.0,older_season,0.0,6.62,21.05,467.0,33.357142857142854
KKR,KuldeepYadav,IND,15.0,14.0,440.0,53.0,32.5,0.0,18.0,0.0,0.0,older_season,0.0,16.619999999999997,44.989999999999995,466.0,33.285714285714285
MI,QdeKock,INT,40.0,0.0,,0.0,,9.0,0.0,0.0,0.0,New_season,0.0,0.0,,462.0,inf
KXIP,MohammedShami,IND,31.0,31.0,934.0,104.1,153.1,0.0,18.0,0.0,0.0,older_season,0.0,36.07000000000001,228.11,458.0,14.774193548387096
KKR,PJCummins,INT,16.0,16.0,499.0,60.1,102.4,0.0,17.0,0.0,0.0,older_season,1.0,25.02,150.86,453.0,28.3125
RR,MustafizurRahman,INT,17.0,17.0,455.0,63.4,21.5,0.0,17.0,0.0,0.0,older_season,1.0,19.65,24.76,449.0,26.41176470588235
RCB,GJMaxwell,INT,57.0,33.0,479.0,54.0,130.2,0.0,11.0,0.0,0.0,older_season,0.0,55.98,220.35,449.0,13.606060606060606
MI,HHPandya,IND,37.0,31.0,542.0,59.4,161.3,0.0,10.0,0.0,0.0,older_season,0.0,27.72,262.5,440.0,14.193548387096774
SRH,MujeebUrRahman,INT,18.0,18.0,,68.2,,0.0,17.0,0.0,0.0,New_season,0.0,27.409999999999997,,439.0,24.38888888888889
RR,MMarkande,IND,17.0,17.0,,50.0,,0.0,16.0,1.0,0.0,New_season,0.0,18.189999999999998,,438.0,25.764705882352942
DC,AMRahane,IND,111.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,older_season,0.0,5.0,5.0,437.0,437.0
SRH,MKPandey,IND,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,436.0,inf
SRH,TNatarajan,IND,16.0,16.0,,62.5,,0.0,16.0,0.0,0.0,New_season,1.0,8.02,,436.0,27.25
MI,KHPandya,IND,25.0,24.0,509.0,71.1,55.1,0.0,16.0,0.0,0.0,older_season,0.0,14.39,66.63,434.0,18.083333333333332
CSK,ATRayudu,IND,114.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,432.0,inf
RCB,WashingtonSundar,IND,25.0,25.0,,79.0,,0.0,16.0,0.0,0.0,New_season,1.0,23.78,,432.0,17.28
KKR,ShivamMavi,IND,17.0,17.0,,54.0,,0.0,14.0,0.0,0.0,New_season,2.0,17.79,,430.0,25.294117647058822
KKR,ShakibAlHasan,INT,20.0,20.0,,67.5,,0.0,16.0,0.0,0.0,New_season,0.0,16.759999999999998,,430.0,21.5
CSK,MSDhoni,IND,45.0,0.0,,0.0,,9.0,0.0,0.0,0.0,New_season,0.0,0.0,,422.0,inf
MI,TABoult,INT,14.0,14.0,491.0,55.5,71.2,0.0,15.0,0.0,0.0,older_season,0.0,27.230000000000004,108.42,399.0,28.5
DC,RRPant,IND,44.0,0.0,,0.0,,8.0,0.0,0.0,0.0,New_season,0.0,0.0,,394.0,inf
RR,DAMiller,INT,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,372.0,inf
RR,BAStokes,INT,12.0,12.0,316.0,44.0,22.0,0.0,12.0,0.0,0.0,older_season,1.0,7.18,26.33,352.0,29.333333333333332
DC,ISharma,IND,14.0,14.0,,49.0,,0.0,13.0,0.0,0.0,New_season,1.0,16.240000000000002,,345.0,24.642857142857142
KXIP,CJJordan,INT,10.0,10.0,267.0,29.0,21.2,0.0,12.0,1.0,0.0,older_season,0.0,18.21,32.45,340.0,34.0
RR,SVSamson,IND,66.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,338.0,inf
DC,SPDSmith,INT,69.0,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,older_season,0.0,15.0,0.0,336.0,336.0
KKR,PJCummins,INT,14.0,14.0,,52.0,,0.0,12.0,1.0,0.0,New_season,0.0,7.86,,332.0,23.714285714285715
KXIP,ArshdeepSingh,IND,11.0,11.0,,34.5,,0.0,12.0,0.0,0.0,New_season,1.0,19.67,,326.0,29.636363636363637
CSK,SNThakur,IND,13.0,13.0,353.0,41.1,38.8,0.0,12.0,0.0,0.0,older_season,0.0,20.91,66.63,326.0,25.076923076923077
RR,AJTye,INT,6.0,6.0,141.0,21.0,0.0,0.0,12.0,0.0,1.0,older_season,0.0,6.71,11.75,318.0,53.0
SRH,VRVSingh,IND,19.0,18.0,542.0,60.0,80.1,0.0,12.0,0.0,0.0,older_season,0.0,31.189999999999998,120.18,318.0,17.666666666666668
SRH,KMJadhav,IND,64.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,310.0,inf
MI,DSKulkarni,IND,19.0,19.0,,57.5,,0.0,10.0,0.0,0.0,New_season,1.0,26.369999999999997,,310.0,16.31578947368421
RCB,HVPatel,IND,12.0,12.0,,40.3,,0.0,12.0,0.0,0.0,New_season,0.0,28.089999999999996,,308.0,25.666666666666668
KKR,KDKarthik,IND,44.0,0.0,,0.0,,4.0,0.0,0.0,0.0,New_season,0.0,0.0,,306.0,inf
SRH,BasilThampi,IND,12.0,12.0,424.0,44.4,24.3,0.0,11.0,0.0,0.0,older_season,0.0,9.49,38.54,291.0,24.25
SRH,MohammadNabi,INT,11.0,11.0,,38.1,,0.0,9.0,1.0,0.0,New_season,0.0,21.8,,287.0,26.09090909090909
SRH,VShankar,IND,35.0,14.0,,26.1,,0.0,6.0,0.0,0.0,New_season,0.0,26.57,,284.0,20.285714285714285
CSK,MMAli,INT,19.0,17.0,,43.1,,0.0,10.0,0.0,0.0,New_season,0.0,22.520000000000003,,284.0,16.705882352941178
DC,MPStoinis,INT,12.0,12.0,304.0,33.3,48.7,0.0,10.0,1.0,0.0,older_season,0.0,18.9,79.25,280.0,23.333333333333332
MI,KAPollard,INT,41.0,11.0,,21.0,,0.0,4.0,0.0,0.0,New_season,0.0,9.04,,272.0,24.727272727272727
CSK,KVSharma,IND,12.0,11.0,,30.8,,0.0,10.0,0.0,0.0,New_season,0.0,29.68,,270.0,24.545454545454547
RCB,MohammedSiraj,IND,6.0,6.0,212.0,23.0,13.8,0.0,10.0,1.0,0.0,older_season,0.0,9.21,21.2,266.0,44.333333333333336
