No.,Player,Team,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ball_Ave,Econ,SR,four_wkt,five_wkt,Ct,St
131,DW Steyn,(Royal Challengers Bangalore),3,3,11.4,0,133,1,Jan-33,133,11.4,70,0,0,0,0
138,AJ Tye,(Rajasthan Royals),1,1,4,0,50,1,Jan-50,50,12.5,24,0,0,0,0
148,J Yadav,(Mumbai Indians),2,2,7,0,43,1,25-Jan,43,6.14,42,0,0,0,0
1,VR Aaron,(Rajasthan Royals),3,3,8,0,94,0,-,-,11.75,-,0,0,0,0
11,Avesh Khan,(Delhi Capitals),1,1,4,0,42,0,-,-,10.5,-,0,0,0,0
34,P Dubey,(Delhi Capitals),3,3,8,0,72,0,-,-,9,-,0,0,1,0
41,CH Gayle,(Kings XI Punjab),7,1,0.5,0,5,0,-,-,6,-,0,0,1,0
45,CJ Green,(Kolkata Knight Riders),1,1,2.5,0,24,0,-,-,8.47,-,0,0,0,0
47,Harpreet Brar,(Kings XI Punjab),1,1,4,0,41,0,-,-,10.25,-,0,0,0,0
51,DJ Hooda,(Kings XI Punjab),7,1,1,0,9,0,-,-,9,-,0,0,3,0
66,DS Kulkarni,(Mumbai Indians),1,1,3,0,22,0,-,-,7.33,-,0,0,0,0
70,MR Marsh,(Sunrisers Hyderabad),1,1,0.4,0,6,0,-,-,9,-,0,0,0,0
74,Mohammad Nabi,(Sunrisers Hyderabad),1,1,4,0,23,0,-,-,5.75,-,0,0,0,0
77,Monu Kumar,(Chennai Super Kings),1,1,2,0,20,0,-,-,10,-,0,0,0,0
80,Mujeeb Ur Rahman,(Kings XI Punjab),2,2,8,0,83,0,-,-,10.37,-,0,0,0,0
95,R Parag,(Rajasthan Royals),12,2,2,0,27,0,-,-,13.5,-,0,0,1,0
108,N Rana,(Kolkata Knight Riders),14,2,2,0,23,0,-,-,11.5,-,0,0,2,0
116,DR Sams,(Delhi Capitals),3,3,12,0,114,0,-,-,9.5,-,0,0,3,0
119,S Sandeep Warrier,(Kolkata Knight Riders),1,1,3,0,34,0,-,-,11.33,-,0,0,0,0
122,I Sharma,(Delhi Capitals),1,1,3,0,26,0,-,-,8.66,-,0,0,0,0
144,DA Warner,(Sunrisers Hyderabad),16,1,0.1,0,2,0,-,-,12,-,0,0,12,0
147,KS Williamson,(Sunrisers Hyderabad),12,1,2,0,24,0,-,-,12,-,0,0,6,0
150,UT Yadav,(Royal Challengers Bangalore),2,2,7,0,83,0,-,-,11.85,-,0,0,0,0
