Player_name,NATIONALITY,team_name,international_matches,ipl_matches_older,ipl_matches_New,international_Inns,ipl_Inns_older,ipl_Inns_New,international_Overs,ipl_Overs_older,ipl_Overs_New,international_Mdns,ipl_Mdns_older,ipl_Mdns_New,international_Runs,ipl_Runs_older,ipl_Runs_New,international_Wkts,ipl_Wkts_older,ipl_Wkts_New,international_Ave,ipl_Ave_older,ipl_Ave_New,international_Econ,ipl_Econ_older,ipl_Econ_New,international_SR,ipl_SR_older,ipl_SR_New,international_four,ipl_four_older,ipl_four_New,international_five,ipl_five_older,ipl_five_New,international_dream_11_points,ipl_dream_11_points_older,ipl_dream_11_points_New,international_consistency,ipl_consistency_older,ipl_consistency_New,dream_11_points_final_points
SKaul,IND,SRH,3,21,25,3,21,25,9.4,69.9,97,0,2,0,84,596,0,4,22,29,21,124.25,0,8.68,25.88,33.24,14.5,85,0,0,1,0,0,0,0,100,614,743,33.33,29.24,29.72,523.01
SNadeem,IND,SRH,0,55,16,0,53,16,0,185.5,46,0,2,0,0,1319,0,0,37,10,0,226.22,0,0,49.86,28.82,0,182.8,0,0,0,0,0,0,0,0,1061,262,0,20.02,16.38,501.7
MujeebUrRahman,INT,SRH,19,0,18,19,0,18,72,0,68.2,0,0,0,443,0,0,25,0,17,17.72,0,0,6.15,0,27.41,17.2,0,0,1,0,0,0,0,0,635,0,439,33.42,0,24.39,497.8
HVPatel,IND,RCB,0,36,12,0,34,12,0,113.5,40.3,0,0,0,0,971,0,0,34,12,0,246.64,0,0,47.29,28.09,0,151.2,0,0,0,0,0,0,0,0,932,308,0,27.41,25.67,495.2
MohammedSiraj,IND,RCB,3,6,29,3,6,29,12,23,96.2,0,0,3,148,212,0,3,10,29,49.33,21.2,0,12.33,9.21,27.18,24,13.8,0,0,1,0,0,0,0,69,266,849,23,44.33,29.28,492.57
MJSantner,INT,CSK,46,0,6,45,0,6,154.2,0,21,1,0,0,1174,0,0,49,0,6,23.95,0,0,7.6,0,14.28,18.8,0,0,1,0,0,0,0,0,1245,0,168,27.67,0,28,491.1
MPrasidhKrishna,IND,KKR,0,0,24,0,0,24,0,0,85.5,0,0,0,0,0,0,0,0,18,0,0,0,0,0,27.99,0,0,0,0,0,1,0,0,0,0,0,490,0,0,20.42,490
CVVarun,IND,KKR,0,0,14,0,0,14,0,0,55,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18.5,0,0,0,0,0,0,0,0,1,0,0,488,0,0,34.86,488
AZampa,INT,RCB,39,11,3,38,11,3,132.5,36.5,11,1,0,0,926,278,0,43,19,2,21.53,32.86,0,6.97,14.97,8.36,18.5,0,0,0,0,0,0,1,0,1089,493,58,28.66,44.82,19.33,458.65
RTewatia,IND,RR,0,7,27,0,7,25,0,21,74.2,0,0,0,0,139,0,0,6,18,0,76.83,0,0,22.32,21.57,0,63,0,0,0,0,0,0,0,0,154,588,0,22,23.52,457.8
WashingtonSundar,IND,RCB,30,11,25,28,10,25,98.3,30,79,1,0,1,685,185,0,25,8,16,27.4,23.12,0,6.95,6.16,23.78,23.6,22.5,0,0,0,0,0,0,0,639,242,432,22.82,24.2,17.28,454.2
BAStokes,INT,RR,21,12,30,19,12,24,51.2,44,68.5,0,1,1,431,316,0,14,12,16,30.78,26.33,0,8.39,7.18,29.66,22,22,0,0,0,0,0,0,0,350,352,526,18.42,29.33,21.92,436.66
NASaini,IND,RCB,10,0,26,9,0,26,32.5,0,93.4,1,0,1,235,0,0,13,0,17,18.07,0,0,7.15,0,16.56,15.1,0,0,0,0,0,0,0,0,337,0,477,37.44,0,18.35,435
ShivamMavi,IND,KKR,0,0,17,0,0,17,0,0,54,0,0,2,0,0,0,0,0,14,0,0,0,0,0,17.79,0,0,0,0,0,0,0,0,0,0,0,430,0,0,25.29,430
ANortje,INT,DC,5,0,16,5,0,16,19,0,61,0,0,0,155,0,0,3,0,22,51.66,0,0,8.15,0,8.39,38,0,0,0,0,0,0,0,0,75,0,582,15,0,36.38,429.9
MAshwin,IND,KXIP,0,10,21,0,10,21,0,28.3,72.3,0,0,0,0,241,0,0,7,18,0,34.42,0,0,8.45,22.53,0,24.4,0,0,0,0,0,0,0,0,175,506,0,17.5,24.1,406.7
RDChahar,IND,MI,2,3,28,1,2,28,3,7,100,0,0,0,27,58,0,1,2,28,27,29,0,9,8.28,14.71,18,21,0,0,0,0,0,0,0,25,58,758,25,29,27.07,391.1
NMCoulter-Nile,INT,MI,15,26,7,14,25,7,48,93.5,26,1,1,0,402,719,0,14,36,5,28.71,117.1,0,8.37,37.19,7.92,20.5,94.3,0,0,1,0,0,0,0,362,986,141,25.86,39.44,20.14,384.75
MPStoinis,INT,DC,27,12,34,17,12,25,41.2,33.3,56.8,0,0,0,346,304,0,10,10,18,34.6,79.25,0,8.37,18.9,29.13,24.8,48.7,0,0,1,0,0,0,0,250,280,504,14.71,23.33,20.16,380.76
PJCummins,INT,KKR,15,16,14,15,16,14,51,60.1,52,0,1,0,368,499,0,16,17,12,23,150.86,0,7.21,25.02,7.86,19.1,102.4,0,0,0,1,0,0,0,400,453,332,26.67,28.31,23.71,377.81
