"","Player","Span","Mat","Inns","Overs","Mdns","Runs","Wkts","BBI","Ave","Econ","SR","four","five"
"482","AD Mathews (SL)","2016-2021","15","12","31.2","0","272","4","2/27","68.00","8.68","47.0","0","0"
"483","Mehidy Hasan Miraz (BDESH)","2017-2018","13","13","36.0","0","330","4","2/31","82.50","9.16","54.0","0","0"
"484","RP Meredith (AUS)","2021-2021","3","3","11.0","0","83","4","2/24","20.75","7.54","16.5","0","0"
"485","Mohammad Ahsan (KUW)","2019-2019","6","6","20.0","0","192","4","2/31","48.00","9.60","30.0","0","0"
"486","Mohammad Sami (PAK)","2016-2016","3","3","10.0","0","93","4","2/17","23.25","9.30","15.0","0","0"
"487","Mohsin Khan (HKG)","2020-2020","3","3","9.0","0","72","4","3/37","18.00","8.00","13.5","0","0"
"488","C Munro (NZ)","2016-2020","41","10","16.4","0","156","4","1/12","39.00","9.36","25.0","0","0"
"489","Najjam Shahzad (PORT)","2019-2019","4","4","12.2","0","65","4","2/16","16.25","5.27","18.5","0","0"
"490","Nazril Rahman (MAL)","2019-2020","11","9","19.0","0","186","4","2/28","46.50","9.78","28.5","0","0"
"491","SN Netravalkar (USA)","2019-2019","8","8","22.4","0","161","4","2/28","40.25","7.10","34.0","0","0"
"492","F Nsubuga (UGA)","2019-2020","6","6","20.0","0","119","4","2/19","29.75","5.95","30.0","0","0"
"493","GM Ntambalika (MWI)","2019-2019","3","3","9.0","0","56","4","2/13","14.00","6.22","13.5","0","0"
"494","AR Patel (INDIA)","2016-2021","8","8","27.0","0","187","4","2/20","46.75","6.92","40.5","0","0"
"495","J Perman (ESP)","2019-2020","4","4","14.0","0","96","4","2/18","24.00","6.85","21.0","0","0"
"496","S Pillai (CRC)","2019-2019","3","3","8.4","0","56","4","3/14","14.00","6.46","13.0","0","0"
"497","R Powell (WI)","2017-2021","30","6","13.0","0","114","4","2/31","28.50","8.76","19.5","0","0"
"498","JB Reva (PNG)","2017-2019","6","5","12.1","0","96","4","2/18","24.00","7.89","18.2","0","0"
"499","EB Ringera (KENYA)","2019-2019","1","1","4.0","0","18","4","4/18","4.50","4.50","6.0","1","0"
"500","S Rossi (Arg)","2019-2019","5","3","6.5","2","21","4","2/15","5.25","3.07","10.2","0","0"
"501","Sahir Naqash (GER)","2019-2020","8","6","11.0","0","67","4","2/3","16.75","6.09","16.5","0","0"
"502","DR Sams (AUS)","2020-2021","4","4","13.4","0","156","4","2/40","39.00","11.41","20.5","0","0"
"503","O Sam Arthur (CRC)","2019-2019","3","3","9.0","0","76","4","2/21","19.00","8.44","13.5","0","0"
"504","Sarfaraz Ali (BHR)","2019-2020","8","7","20.0","0","135","4","2/20","33.75","6.75","30.0","0","0"
"505","MM Sarwar (KUW)","2019-2019","5","4","10.4","0","99","4","2/13","24.75","9.28","16.0","0","0"
"506","A Sathya (Mex)","2019-2019","3","3","11.3","0","76","4","2/32","19.00","6.60","17.2","0","0"
"507","NK Shetty (Mex)","2019-2019","2","2","8.0","0","42","4","3/17","10.50","5.25","12.0","0","0"
"508","Shoaib Ali (Saudi)","2019-2020","8","7","21.3","0","183","4","2/25","45.75","8.51","32.2","0","0"
"509","PR Stirling (IRE)","2017-2020","41","15","23.0","0","220","4","1/10","55.00","9.56","34.5","0","0"
"510","DC Stovell (BMUDA)","2019-2019","6","6","17.2","0","126","4","2/21","31.50","7.26","26.0","0","0"
"511","Syed Aziz (MAL)","2019-2020","23","8","24.5","0","187","4","2/33","46.75","7.53","37.2","0","0"
"512","A Uniyal (Chile)","2019-2019","3","3","9.0","1","59","4","3/17","14.75","6.55","13.5","0","0"
"513","TCW Veillard (GUE)","2019-2019","4","4","16.0","0","93","4","1/15","23.25","5.81","24.0","0","0"
"514","Vichanath Singh (THAI)","2019-2020","8","7","22.5","1","152","4","1/15","38.00","6.65","34.2","0","0"
"515","SMK Waththage (CZK-R)","2019-2019","5","5","12.0","3","68","4","3/4","17.00","5.66","18.0","0","0"
"516","C Zavoiu (ROM)","2019-2020","7","3","2.3","0","18","4","3/4","4.50","7.20","3.7","0","0"
"517","SA Abbott (AUS)","2019-2020","4","4","12.0","0","103","3","2/14","34.33","8.58","24.0","0","0"
"518","Abdul Waheed (Saudi)","2020-2020","3","2","3.0","0","13","3","2/11","4.33","4.33","6.0","0","0"
"519","AS Abioye (NGA)","2019-2019","5","4","10.0","0","87","3","2/26","29.00","8.70","20.0","0","0"
"520","Abu Hider (BDESH)","2018-2018","8","8","25.0","0","228","3","1/14","76.00","9.12","50.0","0","0"
"521","Anshuman Rath (HKG)","2016-2017","4","2","3.0","0","19","3","3/6","6.33","6.33","6.0","0","0"
"522","S Appu (MLT)","2019-2019","4","4","9.0","0","74","3","1/21","24.66","8.22","18.0","0","0"
"523","Asad Mohammad (GER)","2019-2020","10","9","28.0","0","181","3","2/23","60.33","6.46","56.0","0","0"
"524","Asif Bevinje (ROM)","2020-2020","3","3","9.0","0","57","3","1/11","19.00","6.33","18.0","0","0"
"525","TD Astle (NZ)","2019-2019","1","1","4.0","0","28","3","3/28","9.33","7.00","8.0","0","0"
"526","V Ateak (Ghana)","2019-2019","4","3","11.0","0","94","3","2/36","31.33","8.54","22.0","0","0"
"527","G Bakiweyem (Ghana)","2019-2019","3","3","10.0","0","62","3","2/15","20.66","6.20","20.0","0","0"
"528","S Bantzas ()","2019-2019","1","1","3.0","0","12","3","3/12","4.00","4.00","6.0","0","0"
"529","SVE Bharathi (GER)","2020-2020","2","2","7.0","0","39","3","3/21","13.00","5.57","14.0","0","0"
"530","P Bhart (NOR)","2019-2019","5","4","12.0","1","68","3","2/29","22.66","5.66","24.0","0","0"
"531","PRP Boissevain (NL)","2019-2019","4","4","16.0","0","116","3","1/19","38.66","7.25","32.0","0","0"
"532","SM Boland (AUS)","2016-2016","1","1","4.0","0","26","3","3/26","8.66","6.50","8.0","0","0"
"533","DAJ Bracewell (NZ)","2017-2019","4","2","4.0","0","29","3","2/10","9.66","7.25","8.0","0","0"
"534","M Breban (GUE)","2020-2020","1","1","4.0","0","24","3","3/24","8.00","6.00","8.0","0","0"
"535","PR Brown (ENG)","2019-2019","4","4","13.0","0","128","3","1/29","42.66","9.84","26.0","0","0"
"536","P Buccimazza (PORT)","2019-2019","4","4","13.0","0","86","3","2/18","28.66","6.61","26.0","0","0"
"537","N Buckle (GUE)","2019-2019","3","3","10.0","0","76","3","3/26","25.33","7.60","20.0","0","0"
"538","T Bukenya (UGA)","2020-2020","3","3","10.0","0","92","3","2/19","30.66","9.20","20.0","0","0"
"539","HL Carlyon (JER)","2019-2019","9","3","6.0","0","42","3","3/15","14.00","7.00","12.0","0","0"
"540","M Chauhan (Fin)","2019-2019","2","2","8.0","1","38","3","2/16","12.66","4.75","16.0","0","0"
"541","CJ Chibhabha (ZIM)","2016-2020","9","6","14.0","0","114","3","2/13","38.00","8.14","28.0","0","0"
"542","AG Cremer (ZIM)","2016-2018","5","5","16.0","0","129","3","2/20","43.00","8.06","32.0","0","0"
"543","NS Dhaliwal (CAN)","2019-2019","12","5","8.0","0","43","3","1/11","14.33","5.37","16.0","0","0"
"544","SDJJ Dima (Moz)","2019-2019","4","2","5.0","0","57","3","3/41","19.00","11.40","10.0","0","0"
"545","GD Elliott (NZ/World)","2016-2017","5","5","13.0","0","83","3","3/12","27.66","6.38","26.0","0","0"
"546","L Evile (Samoa)","2019-2019","4","4","12.0","1","67","3","1/0","22.33","5.58","24.0","0","0"
"547","Faisal Khan (Saudi)","2019-2020","7","3","10.0","0","73","3","2/14","24.33","7.30","20.0","0","0"
"548","CJ Gannon (USA)","2019-2019","4","3","9.0","0","67","3","2/21","22.33","7.44","18.0","0","0"
"549","K Gilham (CZK-R)","2020-2020","4","4","16.0","0","86","3","1/16","28.66","5.37","32.0","0","0"
"550","Hayatullah Niazi (NOR)","2019-2019","4","4","10.0","0","81","3","1/19","27.00","8.10","20.0","0","0"
"551","J Hill (PHI)","2019-2019","4","2","6.0","0","50","3","2/27","16.66","8.33","12.0","0","0"
"552","J Hirschi (MLT)","2019-2019","4","4","11.0","0","96","3","2/18","32.00","8.72","22.0","0","0"
"553","JJ Huo (Moz)","2019-2019","7","3","10.0","0","56","3","3/14","18.66","5.60","20.0","0","0"
"554","D Jakiel (ZIM)","2019-2019","2","2","7.0","0","44","3","2/27","14.66","6.28","14.0","0","0"
"555","Kaleemullah (OMAN)","2017-2020","8","8","23.0","1","170","3","2/23","56.66","7.39","46.0","0","0"
"556","Kaleem Shah (Moz)","2019-2019","7","6","17.0","0","130","3","2/24","43.33","7.64","34.0","0","0"
"557","P Kerai (KENYA)","2019-2019","6","5","11.0","0","82","3","3/15","27.33","7.45","22.0","0","0"
"558","J Kila (PNG)","2019-2019","12","9","17.0","0","99","3","1/5","33.00","5.82","34.0","0","0"
"559","AC Kose (TKY)","2019-2019","4","2","8.0","0","116","3","2/62","38.66","14.50","16.0","0","0"
"560","DS Kulkarni (INDIA)","2016-2016","2","2","8.0","0","55","3","2/23","18.33","6.87","16.0","0","0"
"561","RAS Lakmal (SL)","2016-2019","6","6","16.4","0","169","3","1/18","56.33","10.14","33.3","0","0"
"562","NCK Liyanage (MAL)","2019-2019","6","5","14.0","0","100","3","1/19","33.33","7.14","28.0","0","0"
"563","AR McBrine (IRE)","2016-2017","8","4","8.0","0","53","3","1/11","17.66","6.62","16.0","0","0"
"564","S Mahmood (ENG)","2019-2020","6","5","18.0","0","190","3","1/20","63.33","10.55","36.0","0","0"
"565","MSS Mandy (Chile)","2019-2019","4","3","8.0","0","43","3","2/19","14.33","5.37","16.0","0","0"
"566","TS Mills (ENG/ICC)","2016-2018","5","5","19.0","1","129","3","1/27","43.00","6.78","38.0","0","0"
"567","K Modise (Botsw)","2019-2019","3","2","5.0","0","41","3","3/18","13.66","8.20","10.0","0","0"
"568","Mohammad Ghazanfar (HKG)","2019-2019","5","5","14.0","0","85","3","2/11","28.33","6.07","28.0","0","0"
"569","Mohammed Siraj (INDIA)","2017-2018","3","3","12.0","0","148","3","1/45","49.33","12.33","24.0","0","0"
"570","Murid Ekrami (Belg)","2019-2020","7","7","17.0","0","103","3","1/8","34.33","6.05","34.0","0","0"
"571","Musa Shaheen (DEN)","2019-2019","1","1","2.2","0","11","3","3/11","3.66","4.71","4.6","0","0"
"572","A Nathwani (Aut)","2019-2019","5","4","10.0","0","79","3","1/9","26.33","7.90","20.0","0","0"
"573","D Nikolov (BUL)","2019-2020","7","4","8.0","0","73","3","2/27","24.33","9.12","16.0","0","0"
"574","A Nortje (SA)","2019-2020","5","5","19.0","0","155","3","1/24","51.66","8.15","38.0","0","0"
"575","HC Overdijk (NL)","2018-2019","4","3","8.0","0","72","3","2/23","24.00","9.00","16.0","0","0"
"576","WD Parnell (SA)","2017-2017","5","5","14.0","0","147","3","1/16","49.00","10.50","28.0","0","0"
"577","RR Patel (KENYA)","2019-2019","8","4","12.0","0","78","3","2/19","26.00","6.50","24.0","0","0"
"578","N Pathan (THAI)","2019-2020","8","5","7.4","0","79","3","1/11","26.33","10.30","15.3","0","0"
"579","R Pisal (ROM)","2019-2019","1","1","3.0","0","4","3","3/4","1.33","1.33","6.0","0","0"
"580","Qadeer Ahmed (UAE)","2019-2019","2","2","8.0","0","68","3","2/18","22.66","8.50","16.0","0","0"
"581","Qais Ahmad (AFG)","2020-2020","1","1","4.0","0","25","3","3/25","8.33","6.25","8.0","0","0"
"582","SK Raina (INDIA)","2016-2018","20","8","15.0","0","129","3","1/4","43.00","8.60","30.0","0","0"
"583","KB Ratilal (PNM)","2019-2019","3","3","12.0","0","61","3","2/18","20.33","5.08","24.0","0","0"
"584","MJG Rippon (NL)","2017-2018","4","3","12.0","0","68","3","2/33","22.66","5.66","24.0","0","0"
"585","WJR Robertson (JER)","2019-2019","6","6","18.1","1","101","3","1/7","33.66","5.55","36.3","0","0"
"586","V Saini (ROM)","2020-2020","4","4","13.0","0","75","3","2/8","25.00","5.76","26.0","0","0"
"587","MN Samuels (WI)","2016-2018","26","4","7.3","0","61","3","1/11","20.33","8.13","15.0","0","0"
"588","M Sert (TKY)","2019-2019","4","4","10.0","0","93","3","2/38","31.00","9.30","20.0","0","0"
"589","Shahid Afridi (ICC/PAK)","2016-2018","4","4","16.0","0","126","3","2/40","42.00","7.87","32.0","0","0"
"590","Shoaib Malik (ICC/PAK)","2016-2020","41","11","17.0","0","135","3","2/13","45.00","7.94","34.0","0","0"
"591","DJM Short (AUS)","2018-2020","23","9","19.0","0","151","3","1/13","50.33","7.94","38.0","0","0"
"592","Sikandar Raza (ZIM)","2016-2021","13","11","27.0","0","225","3","1/25","75.00","8.33","54.0","0","0"
"593","Sikander Zulfiqar (NL)","2018-2019","9","7","10.0","0","79","3","1/9","26.33","7.90","20.0","0","0"
"594","KM Silva ()","2019-2019","3","2","3.0","0","18","3","2/1","6.00","6.00","6.0","0","0"
"595","M Simpson-Parker (Aut)","2019-2019","3","3","5.0","0","40","3","2/6","13.33","8.00","10.0","0","0"
"596","S Singh (PHI)","2019-2019","4","4","11.0","0","110","3","3/32","36.66","10.00","22.0","0","0"
"597","DC Smith (PHI)","2019-2019","4","4","11.0","0","89","3","1/8","29.66","8.09","22.0","0","0"
"598","Sohail Khan (PAK)","2017-2017","2","2","8.0","0","72","3","2/28","24.00","9.00","16.0","0","0"
"599","A Srivastav (Chile)","2019-2019","4","3","8.0","0","73","3","2/28","24.33","9.12","16.0","0","0"
"600","H Ssenyondo (UGA)","2019-2020","7","6","22.0","0","122","3","3/14","40.66","5.54","44.0","0","0"
"601","K Subramanian (SGP)","2020-2020","1","1","4.0","0","27","3","3/27","9.00","6.75","8.0","0","0"
"602","Suhail Sadiq (LUX)","2019-2019","2","2","6.0","0","45","3","2/13","15.00","7.50","12.0","0","0"
"603","Tahir Dar (BHR)","2019-2019","4","4","14.0","0","128","3","2/31","42.66","9.14","28.0","0","0"
"604","Taskin Ahmed (BDESH)","2017-2018","6","6","17.5","0","200","3","1/28","66.66","11.21","35.6","0","0"
"605","SR Taylor (USA)","2019-2019","8","5","13.0","1","70","3","2/10","23.33","5.38","26.0","0","0"
"606","SF Tiai (Samoa)","2019-2019","4","4","11.0","0","82","3","2/16","27.33","7.45","22.0","0","0"
"607","AJ Turner (AUS)","2017-2019","11","3","6.0","0","42","3","2/12","14.00","7.00","12.0","0","0"
"608","Virandeep Singh (MAL)","2019-2020","21","8","17.2","0","135","3","2/15","45.00","7.78","34.6","0","0"
"609","SG Whittingham (SCOT)","2018-2018","3","3","10.0","0","79","3","2/33","26.33","7.90","20.0","0","0"
"610","KS Williamson (NZ)","2016-2021","36","4","8.0","0","44","3","2/16","14.66","5.50","16.0","0","0"
"611","Zahid Mahmood (PAK)","2021-2021","1","1","4.0","0","40","3","3/40","13.33","10.00","8.0","0","0"
"612","Zaki Ul Hassan (Belg)","2019-2019","3","3","9.0","0","56","3","1/12","18.66","6.22","18.0","0","0"
"613","Zulqarnain Haider (ESP)","2019-2019","5","5","13.0","0","60","3","1/7","20.00","4.61","26.0","0","0"
"614","Aaron Jones (USA)","2019-2019","8","3","7.0","0","28","2","1/6","14.00","4.00","21.0","0","0"
"615","Abul Hasan (BDESH)","2018-2018","1","1","3.0","0","40","2","2/40","20.00","13.33","9.0","0","0"
"616","Ahmed Hassan (Mald)","2019-2019","11","5","7.3","0","81","2","1/8","40.50","10.80","22.5","0","0"
"617","Ali Naqi (PORT)","2019-2019","4","4","10.0","0","65","2","2/20","32.50","6.50","30.0","0","0"
"618","CJ Anderson (NZ)","2016-2018","10","4","9.0","0","66","2","2/29","33.00","7.33","27.0","0","0"
"619","Anique Uddin (DEN)","2019-2019","6","2","2.3","0","14","2","2/12","7.00","5.60","7.5","0","0"
"620","DNA Ankrah (Ghana)","2019-2019","4","4","12.0","1","85","2","1/21","42.50","7.08","36.0","0","0"
"621","Aphsal Ashraf (KUW)","2020-2020","5","2","5.0","0","41","2","2/35","20.50","8.20","15.0","0","0"
"622","Apon Mustafizur (Serb)","2019-2019","2","1","3.0","0","30","2","2/30","15.00","10.00","9.0","0","0"
"623","Aqib Ilyas (OMAN)","2017-2019","17","4","9.0","0","59","2","1/9","29.50","6.55","27.0","0","0"
"624","S Arachchige (ITA)","2019-2019","4","4","6.0","0","42","2","2/15","21.00","7.00","18.0","0","0"
"625","Asad Ali Rehemtulla (BUL)","2020-2020","3","2","7.0","0","47","2","2/16","23.50","6.71","21.0","0","0"
"626","Ashfaq Ahmed (UAE)","2018-2019","12","2","6.0","0","34","2","1/14","17.00","5.66","18.0","0","0"
"627","A Ashokan (CZK-R)","2019-2020","6","5","10.5","0","113","2","1/12","56.50","10.43","32.5","0","0"
"628","Atif Kamal (LUX)","2019-2019","4","4","14.0","0","90","2","2/5","45.00","6.42","42.0","0","0"
"629","Aziz Mohammad (Belg)","2019-2019","3","3","12.0","0","84","2","1/18","42.00","7.00","36.0","0","0"
"630","MO Bacarese (GIBR)","2019-2019","3","3","12.0","0","51","2","1/15","25.50","4.25","36.0","0","0"
"631","JT Ball (ENG)","2018-2018","2","2","7.0","0","83","2","1/39","41.50","11.85","21.0","0","0"
"632","GG Banner (Blz)","2019-2019","3","1","3.3","0","10","2","2/10","5.00","2.85","10.5","0","0"
"633","W Barresi (NL)","2017-2019","10","3","5.4","0","49","2","1/3","24.50","8.64","17.0","0","0"
"634","F Behardien (SA)","2016-2018","14","1","3.0","0","15","2","2/15","7.50","5.00","9.0","0","0"
"635","P Chandran (Mex)","2019-2019","3","2","4.0","0","45","2","1/22","22.50","11.25","12.0","0","0"
"636","TS Chisoro (ZIM)","2018-2020","7","7","25.0","0","195","2","2/28","97.50","7.80","75.0","0","0"
"637","FA Cossa (Moz)","2019-2019","6","5","14.0","0","110","2","1/24","55.00","7.85","42.0","0","0"
"638","BCJ Cutting (World)","2017-2017","3","3","10.0","0","116","2","1/38","58.00","11.60","30.0","0","0"
"639","DK Dahyabhai Ahir (PNM)","2019-2019","2","2","3.0","0","27","2","2/11","13.50","9.00","9.0","0","0"
"640","TM Dilshan (SL)","2016-2016","5","1","2.0","0","8","2","2/8","4.00","4.00","6.0","0","0"
"641","N Dipakkumar Patel (PNM)","2019-2019","3","3","10.0","0","42","2","2/17","21.00","4.20","30.0","0","0"
"642","M Dixit (LUX)","2019-2020","5","5","14.0","0","119","2","1/15","59.50","8.50","42.0","0","0"
"643","K Dorji (BHU)","2019-2019","2","2","7.0","0","69","2","2/45","34.50","9.85","21.0","0","0"
"644","Ehsan Nawaz (HKG)","2016-2017","4","4","6.4","0","69","2","1/22","34.50","10.35","20.0","0","0"
"645","Fakhrul Mohon (PORT)","2019-2019","4","4","14.0","2","85","2","1/21","42.50","6.07","42.0","0","0"
"646","V Ganesan (GER)","2019-2020","6","6","14.0","1","80","2","1/10","40.00","5.71","42.0","0","0"
"647","WT Gavera (PNG)","2017-2017","3","3","8.0","0","63","2","2/19","31.50","7.87","24.0","0","0"
"648","CH Gayle (WI)","2016-2021","15","1","3.0","0","17","2","2/17","8.50","5.66","9.0","0","0"
"649","D Gim (NGA)","2019-2019","6","4","6.0","0","65","2","1/18","32.50","10.83","18.0","0","0"
"650","Hafez Farooq (Peru)","2019-2019","4","1","2.0","0","14","2","2/14","7.00","7.00","6.0","0","0"
"651","LHB Harrington-Myers (Caym)","2019-2019","4","2","4.0","0","26","2","2/13","13.00","6.50","12.0","0","0"
"652","JW Hastings (AUS)","2016-2016","2","2","7.0","0","47","2","2/23","23.50","6.71","21.0","0","0"
"653","JR Hazlewood (AUS)","2016-2020","4","4","16.0","0","126","2","1/23","63.00","7.87","48.0","0","0"
"654","Imran Ashraf (QAT)","2019-2020","4","4","11.0","0","113","2","2/23","56.50","10.27","33.0","0","0"
"655","Imran Yousaf (Saudi)","2020-2020","2","2","7.0","0","56","2","2/21","28.00","8.00","21.0","0","0"
"656","J Jojo (DEN)","2019-2019","7","5","17.0","0","98","2","2/25","49.00","5.76","51.0","0","0"
"657","Junaid Aziz (BHR)","2020-2020","4","3","5.2","0","48","2","2/24","24.00","9.00","16.0","0","0"
"658","Junaid Sheikh (NOR)","2019-2019","5","5","16.0","1","104","2","1/21","52.00","6.50","48.0","0","0"
"659","Junaid Siddiqui (CAN)","2019-2019","5","5","16.0","0","86","2","1/10","43.00","5.37","48.0","0","0"
"660","TE Kane (IRE)","2018-2019","2","2","6.0","0","68","2","2/50","34.00","11.33","18.0","0","0"
"661","D Kegasitswe (Botsw)","2019-2019","4","3","12.0","0","156","2","1/43","78.00","13.00","36.0","0","0"
"662","AK Kitchen (NZ)","2017-2018","5","3","6.0","0","46","2","1/3","23.00","7.66","18.0","0","0"
"663","D Klein (GER)","2020-2020","2","2","8.0","0","41","2","1/12","20.50","5.12","24.0","0","0"
"664","IGTR Kumara (Mald)","2020-2020","3","2","5.0","0","45","2","2/32","22.50","9.00","15.0","0","0"
"665","H Lakov (BUL)","2019-2020","6","5","20.0","1","151","2","1/23","75.50","7.55","60.0","0","0"
"666","GF Linde (SA)","2020-2020","3","3","12.0","0","73","2","2/20","36.50","6.08","36.0","0","0"
"667","Lucky Ali (DEN)","2019-2019","2","2","7.0","1","40","2","1/19","20.00","5.71","21.0","0","0"
"668","CS MacLeod (SCOT)","2017-2019","25","6","11.0","0","76","2","1/17","38.00","6.90","33.0","0","0"
"669","DSK Madushanka (SL)","2018-2018","2","2","5.1","0","62","2","2/23","31.00","12.00","15.5","0","0"
"670","R Mahajan (PHI)","2019-2019","3","3","10.0","0","93","2","1/18","46.50","9.30","30.0","0","0"
"671","P Manning (Caym)","2019-2019","6","4","8.0","0","53","2","2/3","26.50","6.62","24.0","0","0"
"672","B Masaba (UGA)","2019-2020","2","1","4.0","0","14","2","2/14","7.00","3.50","12.0","0","0"
"673","P Masih (ROM)","2020-2020","3","3","9.0","0","49","2","2/18","24.50","5.44","27.0","0","0"
"674","B Mavuta (ZIM)","2018-2021","4","4","14.0","0","94","2","1/19","47.00","6.71","42.0","0","0"
"675","Z McLaughlin (Caym)","2019-2019","3","3","7.1","0","54","2","2/30","27.00","7.53","21.5","0","0"
"676","Mohameed Taiwo (NGA)","2019-2019","2","2","8.0","0","41","2","1/16","20.50","5.12","24.0","0","0"
"677","Mohammad Adnan (Saudi)","2019-2019","5","5","17.0","0","120","2","1/27","60.00","7.05","51.0","0","0"
"678","Mohammad Irfan (PAK)","2016-2019","4","4","12.5","0","129","2","1/27","64.50","10.05","38.5","0","0"
"679","M Morkel (SA/World)","2017-2017","5","5","20.0","0","169","2","1/32","84.50","8.45","60.0","0","0"
"680","Mohsin Hub (Peru)","2019-2019","4","3","9.0","0","39","2","1/14","19.50","4.33","27.0","0","0"
"681","Muhammad Rafique (BHR)","2019-2019","2","2","5.0","0","63","2","1/31","31.50","12.60","15.0","0","0"
"682","Muhammad Tanveer (QAT)","2019-2020","22","5","11.0","0","86","2","1/12","43.00","7.81","33.0","0","0"
"683","S Murari (CRC)","2019-2019","3","3","10.0","0","52","2","1/10","26.00","5.20","30.0","0","0"
"684","LA Musiani (Arg)","2019-2019","5","4","15.0","1","69","2","1/16","34.50","4.60","45.0","0","0"
"685","T Muzarabani (ZIM)","2016-2016","2","2","6.0","0","48","2","2/31","24.00","8.00","18.0","0","0"
"686","L Nussbaumer (GUE)","2019-2019","1","1","4.0","0","44","2","2/44","22.00","11.00","12.0","0","0"
"687","MP O'Dowd (NL)","2017-2019","31","7","10.0","0","105","2","1/10","52.50","10.50","30.0","0","0"
"688","E Packard (GIBR)","2019-2019","4","4","11.0","0","79","2","1/8","39.50","7.18","33.0","0","0"
"689","NMS Param (SGP)","2019-2019","8","3","8.0","0","55","2","2/24","27.50","6.87","24.0","0","0"
"690","HH Patel (MWI)","2019-2019","7","5","13.0","0","104","2","2/13","52.00","8.00","39.0","0","0"
"691","A Pusthay (Fin)","2019-2019","5","4","10.0","0","90","2","2/26","45.00","9.00","30.0","0","0"
"692","S Rakshit (CZK-R)","2019-2019","6","5","12.5","0","99","2","1/11","49.50","7.71","38.5","0","0"
"693","S Ravikumar (CRC)","2019-2019","3","3","6.2","0","56","2","1/12","28.00","8.84","19.0","0","0"
"694","S Rengarajan (CZK-R)","2020-2020","3","2","5.0","0","50","2","1/21","25.00","10.00","15.0","0","0"
"695","JE Root (ENG)","2016-2019","17","4","5.0","0","43","2","2/9","21.50","8.60","15.0","0","0"
"696","SI Runsewe (NGA)","2019-2019","6","2","2.3","0","23","2","1/4","11.50","9.20","7.5","0","0"
"697","Sadeeq Khan (ROM)","2019-2019","3","3","12.0","0","63","2","1/21","31.50","5.25","36.0","0","0"
"698","TK Saha (Fin)","2019-2019","4","4","10.0","0","88","2","1/22","44.00","8.80","30.0","0","0"
"699","Sajid Liaqat (GER)","2019-2019","2","2","8.0","0","72","2","1/30","36.00","9.00","24.0","0","0"
"700","Samiullah Shinwari (AFG)","2016-2020","24","6","15.0","0","112","2","1/7","56.00","7.46","45.0","0","0"
"701","Sami Ullah (ROM)","2020-2020","1","1","4.0","0","23","2","2/23","11.50","5.75","12.0","0","0"
"702","Sandeep Goud (OMAN)","2019-2020","15","2","6.0","0","48","2","2/36","24.00","8.00","18.0","0","0"
"703","Saqib Zulfiqar (NL)","2018-2019","6","4","9.0","0","61","2","1/4","30.50","6.77","27.0","0","0"
"704","Saqlain Ali (Belg)","2019-2019","2","2","7.0","0","36","2","1/12","18.00","5.14","21.0","0","0"
"705","P Sarraf (NEPAL)","2019-2020","12","7","13.0","1","75","2","1/3","37.50","5.76","39.0","0","0"
"706","Shaffeq Muhammad ()","2019-2019","2","2","7.0","1","21","2","2/12","10.50","3.00","21.0","0","0"
"707","Sharafuddin Ashraf (AFG)","2018-2019","4","4","11.0","1","82","2","2/31","41.00","7.45","33.0","0","0"
"708","R Shepherd (WI)","2020-2020","3","2","8.0","0","75","2","1/37","37.50","9.37","24.0","0","0"
"709","LA Simango (Moz)","2019-2019","3","3","6.1","0","55","2","2/20","27.50","8.91","18.5","0","0"
"710","K Sinclair (WI)","2021-2021","3","3","9.0","0","77","2","1/19","38.50","8.55","27.0","0","0"
"711","TAM Siriwardana (SL)","2016-2017","8","4","7.0","0","59","2","2/33","29.50","8.42","21.0","0","0"
"712","OF Smith (WI)","2018-2018","2","2","7.0","0","78","2","1/38","39.00","11.14","21.0","0","0"
"713","CB Sole (SCOT)","2017-2018","4","4","16.0","0","141","2","2/38","70.50","8.81","48.0","0","0"
"714","AL Stephen (VAN)","2019-2019","2","2","7.0","0","29","2","2/15","14.50","4.14","21.0","0","0"
"715","Tanveer Ahmed (HKG)","2016-2017","4","4","9.3","0","85","2","2/29","42.50","8.94","28.5","0","0"
"716","Tanwir Afzal (HKG)","2016-2016","1","1","4.0","0","18","2","2/18","9.00","4.50","12.0","0","0"
"717","T Taylor (Caym)","2019-2019","6","4","9.0","0","74","2","1/17","37.00","8.22","27.0","0","0"
"718","T Turan (TKY)","2019-2019","4","3","8.1","0","111","2","1/32","55.50","13.59","24.5","0","0"
"719","Waqar Abbasi (ROM)","2020-2020","1","1","3.0","0","30","2","2/30","15.00","10.00","9.0","0","0"
"720","Waqas Maqsood (PAK)","2018-2018","1","1","1.5","0","21","2","2/21","10.50","11.45","5.5","0","0"
"721","Washeem Abbas (MLT)","2019-2020","5","5","16.3","0","132","2","1/27","66.00","8.00","49.5","0","0"
"722","BTJ Wheal (SCOT)","2017-2017","3","3","12.0","0","110","2","1/31","55.00","9.16","36.0","0","0"
"723","C Wright (Caym)","2019-2019","6","4","7.0","0","53","2","2/34","26.50","7.57","21.0","0","0"
"724","HN Ya France (NAM)","2019-2019","6","6","13.0","0","82","2","1/3","41.00","6.30","39.0","0","0"
"725","Zain ul Tashnam (CRC)","2019-2019","3","2","8.0","1","35","2","1/16","17.50","4.37","24.0","0","0"
