,Player,Span,Mat,Runs,HS,Bat_Av,hundred,Wkts,BBI,Bowl_Av,five,Ct,St,Ave_Diff
390,Saad Bin Zafar (CAN),2019-2019,11,43,20,14.33,0,17,03-Aug,16.76,0,3,0,-2.43
391,Shapoor Zadran (AFG),2016-2020,11,2,1*,2,0,12,Mar-40,32.33,0,0,0,-30.33
392,B Shikongo (NAM),2019-2019,11,0,0,0,0,7,02-Apr,18.71,0,4,0,-18.71
393,Shiraz Khan (KUW),2019-2020,11,47,16*,7.83,0,6,Feb-35,35,0,5,0,-27.16
394,Sidhant Singh (SGP),2019-2020,11,178,77,25.42,0,6,Feb-27,36,0,3,0,-10.57
395,AJ Turner (AUS),2017-2019,11,57,22*,14.25,0,3,02-Dec,14,0,5,0,0.25
396,CD Wallace (SCOT),2017-2019,11,83,27,13.83,0,-,-,-,-,2,0,-
397,Waqas Khan (HKG),2017-2020,11,139,60,17.37,0,-,-,-,-,1,0,-
398,Yasir Ali (ESP),2019-2020,11,325,80*,46.42,0,6,02-Nov,17.16,0,7,0,29.26
399,Ahmed Wardak (GER),2019-2020,10,27,20*,13.5,0,14,Apr-20,14,0,0,0,-0.49
400,Amir Mangal (GER),2019-2020,10,142,40,20.28,0,1,Jan-17,57,0,3,0,-36.71
401,CJ Anderson (NZ),2016-2018,10,222,94*,27.75,0,2,Feb-29,33,0,6,0,-5.24
402,Asad Mohammad (GER),2019-2020,10,12,5,4,0,3,Feb-23,60.33,0,5,0,-56.33
403,LJ Barker (GUE),2019-2020,10,63,20,7.87,0,-,-,-,-,2,0,-
404,W Barresi (NL),2017-2019,10,203,53*,25.37,0,2,01-Mar,24.5,0,1,1,0.87
405,J Butler (GUE),2019-2020,10,238,65*,34,0,0,-,-,0,3,0,-
406,J Charles (WI),2016-2016,10,261,79,26.1,0,-,-,-,-,2,0,-
407,DDP D'Silva (UAE),2019-2019,10,130,29,32.5,0,-,-,-,-,4,0,-
408,CJ Dala (SA),2018-2021,10,19,12*,19,0,13,Mar-35,23.61,0,3,0,-4.61
409,K Dasan (BUL),2019-2020,10,237,74,29.62,0,4,Mar-23,13,0,3,2,16.62
410,JH Davey (SCOT),2017-2019,10,38,14*,38,0,17,Apr-34,18.64,0,4,0,19.35
411,AC Douglas (BMUDA),2019-2019,10,138,47*,17.25,0,5,May-18,6,1,5,0,11.25
412,LB Ferbrache (GUE),2019-2020,10,138,55,17.25,0,-,-,-,-,7,0,-
413,TS Fray (BMUDA),2019-2019,10,73,29,8.11,0,-,-,-,-,1,0,-
414,Z Groenewald (NAM),2019-2019,10,20,13,6.66,0,8,Mar-20,20.37,0,3,0,-13.7
415,Haider Ali (PAK),2020-2021,10,222,66*,24.66,0,-,-,-,-,3,0,-
416,Haris Sohail (PAK),2018-2019,10,165,52,20.62,0,-,-,-,-,2,0,-
417,PD Hennessy (ESP),2019-2020,10,214,71,30.57,0,9,Mar-27,9.55,0,0,0,21.01
418,MC Henriques (AUS),2016-2020,10,207,62*,41.4,0,4,Mar-22,31,0,2,0,10.4
419,Hilal Ahmad (CZK-R),2019-2020,10,50,18*,6.25,0,-,-,-,-,7,0,-
420,CK Kapugedera (SL),2016-2017,10,189,50,23.62,0,-,-,-,-,4,0,-
421,Kuldeep Lal (ESP),2019-2020,10,80,38,20,0,4,Feb-33,33.75,0,4,0,-13.74
422,LC Le Tissier (GUE),2019-2020,10,38,9,6.33,0,14,Mar-17,16,0,2,0,-9.66
423,PK Matautaava (VAN),2019-2019,10,265,103,26.5,1,9,02-Sep,22.11,0,6,0,4.38
424,BJ McCarthy (IRE),2017-2020,10,29,18*,7.25,0,11,Apr-33,33.63,0,0,0,-26.38
425,P Mishra (BUL),2019-2020,10,86,23,10.75,0,13,03-Dec,16,0,3,0,-5.24
426,Mohamed Azzam (Mald),2019-2020,10,81,17*,11.57,0,-,-,-,-,11,1,-
427,Mohammad Hasnain (PAK),2019-2020,10,5,4*,5,0,7,Mar-37,42.42,0,0,0,-37.42
428,Muhamad Syahadat (MAL),2019-2019,10,122,41*,20.33,0,11,03-Jul,11.54,0,1,0,8.78
429,B Muzarabani (ZIM),2018-2021,10,6,5*,6,0,15,Mar-21,22,0,2,0,-15.99
430,Najeeb Tarakai (AFG),2016-2019,10,244,90,24.4,0,-,-,-,-,3,0,-
431,Naveed Ahmed (CZK-R),2019-2020,10,2,2*,2,0,5,03-Oct,19.6,0,3,0,-17.59
432,K Pierre (WI),2018-2020,10,17,9*,8.5,0,7,Feb-44,38.42,0,2,0,-29.92
433,NA Saini (INDIA),2019-2020,10,11,11*,-,0,13,Mar-17,18.07,0,3,0,-
434,Shafiq Sharif (MAL),2019-2019,10,225,53,22.5,0,-,-,-,-,2,3,-
435,CA Soper (PNG),2017-2019,10,26,19,13,0,11,02-Jun,10,0,1,0,3
436,Syazrul Idrus (MAL),2019-2020,10,10,9*,5,0,17,Mar-17,15.17,0,2,0,-10.17
437,JE Taylor (WI),2016-2018,10,65,21,16.25,0,9,Feb-31,33.77,0,3,0,-17.52
438,GJ Thompson (IRE),2016-2019,10,107,44,15.28,0,-,-,-,-,2,0,-
439,JD Unadkat (INDIA),2016-2018,10,-,-,-,-,14,Mar-38,21.5,0,3,0,-
440,W Viraliliu (VAN),2019-2019,10,34,13*,8.5,0,5,Mar-19,32.8,0,1,0,-24.29
441,Abdul-Shakoor Rahimzei (GER),2019-2020,9,102,59,17,0,7,02-Oct,14.42,0,4,0,2.57
442,Aftab Hussain (HKG),2020-2020,9,6,5*,-,0,15,Mar-14,15,0,1,0,-
443,Al-Amin Hossain (BDESH),2016-2020,9,0,0*,0,0,9,Feb-22,24,0,2,0,-23.99
444,Ariful Haque (BDESH),2018-2018,9,59,18*,14.75,0,1,Jan-13,13,0,5,0,1.75
445,Atif Mehmood (ESP),2019-2019,9,5,5*,-,0,9,Feb-14,17.11,0,0,0,-
446,T Banton (ENG),2019-2020,9,205,71,22.77,0,-,-,-,-,6,0,-
447,TS Bharaj (DEN),2019-2019,9,52,19,6.5,0,-,-,-,-,4,0,-
448,Meet Bhavsar (KUW),2019-2019,9,104,38,17.33,0,0,-,-,0,4,0,-
449,HL Carlyon (JER),2019-2019,9,156,50,19.5,0,3,Mar-15,14,0,0,0,5.5
450,CJ Chibhabha (ZIM),2016-2020,9,102,31,11.33,0,3,Feb-13,38,0,1,0,-26.66
451,VB Chikkannaiah (GER),2019-2020,9,199,70*,24.87,0,-,-,-,-,0,0,-
452,Delawar Khan (DEN),2019-2019,9,47,17,6.71,0,7,Feb-21,18.42,0,3,0,-11.71
453,GDR Eranga (CAN),2019-2019,9,1,1,1,0,12,Mar-19,17,0,2,0,-15.99
454,CR Ervine (ZIM),2019-2020,9,273,68*,34.12,0,-,-,-,-,4,0,-
455,Faran Afzal (ESP),2019-2019,9,141,59*,20.14,0,8,03-Nov,17.87,0,2,0,2.26
456,JP Faulkner (AUS),2016-2017,9,35,14*,7,0,17,May-27,14.23,1,5,0,-7.23
457,DM Gondaria (KENYA),2019-2019,9,199,85*,28.42,0,-,-,-,-,4,0,-
458,OD Hald (DEN),2019-2019,9,61,18,8.71,0,9,Mar-18,12.55,0,4,0,-3.84
459,BE Hendricks (SA),2017-2020,9,3,3,1.5,0,15,Apr-14,20.13,0,3,0,-18.63
460,DR Hooper (GUE),2019-2019,9,76,19*,15.2,0,9,03-May,23.44,0,4,0,-8.24
461,IA Karim (KENYA),2019-2019,9,239,71*,39.83,0,-,-,-,-,8,3,-
462,Khizar Hayat (MAL),2020-2020,9,104,28,17.33,0,13,05-Apr,18.76,1,4,0,-1.43
463,Khushdil Shah (PAK),2019-2021,9,130,36*,21.66,0,0,-,-,0,2,0,-
464,KMDN Kulasekara (SL),2016-2017,9,29,12,14.5,0,10,Apr-31,26.7,0,0,0,-12.19
465,ND Laegsgaard (DEN),2019-2019,9,105,39,15,0,9,02-May,11.66,0,6,0,3.33
466,N Madziva (ZIM),2016-2019,9,34,15,11.33,0,6,Feb-25,37.16,0,3,0,-25.83
467,SF Mire (ZIM),2018-2019,9,253,94,31.62,0,1,Jan-15,115,0,2,0,-83.37
468,Mohammad Amin (KUW),2019-2020,9,93,32,23.25,0,1,01-Dec,18,0,3,0,5.25
469,JN Mohammed (WI),2017-2018,9,90,23*,18,0,0,-,-,0,1,0,-
470,EMDY Munaweera (SL),2017-2017,9,176,53,19.55,0,1,Jan-26,92,0,0,0,-72.44
471,W Nalisa (VAN),2019-2019,9,2,1*,2,0,5,Feb-25,35.4,0,1,0,-33.39
472,SO Ngoche (KENYA),2019-2019,9,52,22,10.4,0,13,02-Jun,17,0,3,0,-6.59
473,AR Nurse (WI),2017-2019,9,76,20*,76,0,8,02-Jun,27,0,5,0,49
474,CO Obuya (KENYA),2019-2019,9,184,63,20.44,0,12,Apr-27,11,0,6,0,9.44
475,LN Oluoch (KENYA),2019-2019,9,26,7*,8.66,0,10,Mar-22,17.9,0,2,0,-9.23
476,AA Onikoyi (NGA),2019-2019,9,119,49,14.87,0,-,-,-,-,2,0,-
477,CN Onwuzulike (NGA),2019-2019,9,122,46*,15.25,0,-,-,-,-,5,0,-
478,WA Peatfield (GUE),2019-2020,9,8,7*,8,0,12,Mar-23,18.5,0,0,0,-10.49
479,S Pokhriyal (CZK-R),2019-2020,9,200,79,25,0,1,Jan-23,23,0,1,0,2
480,Shafiul Islam (BDESH),2017-2020,9,5,4,2.5,0,12,Mar-36,21.41,0,0,0,-18.91
481,HAM Shah (DEN),2019-2019,9,172,40,21.5,0,5,Apr-23,17.2,0,6,0,4.3
482,V Shankar (INDIA),2018-2019,9,101,43,25.25,0,5,Feb-32,38.2,0,2,0,-12.94
483,Sikander Zulfiqar (NL),2018-2019,9,59,18,8.42,0,3,01-Sep,26.33,0,2,0,-17.9
484,H Singh (GER),2019-2020,9,150,44*,30,0,0,-,-,0,0,0,-
485,L Sipamla (SA),2019-2021,9,8,8*,8,0,5,Feb-22,53,0,3,0,-44.99
486,TB Sole (SCOT),2019-2019,9,69,33*,17.25,0,6,Feb-15,22.83,0,5,0,-5.58
487,AJ Staal (NL),2019-2019,9,97,28*,16.16,0,-,-,-,-,0,0,-
488,MWR Stokes (GUE),2019-2019,9,127,29,18.14,0,-,-,-,-,3,0,-
489,DT Tiripano (ZIM),2016-2021,9,94,28,18.8,0,5,Mar-20,49.2,0,2,0,-30.39
490,S Vijayakumar (SGP),2019-2019,9,2,1,1,0,12,Apr-25,17,0,1,0,-15.99
491,JM Vince (ENG),2016-2019,9,215,59,23.88,0,-,-,-,-,5,0,-
492,S Wickramasekara (CZK-R),2019-2020,9,294,104*,42,1,6,2/0,36,0,1,0,6
493,Aaron Jones (USA),2019-2019,8,81,39,20.25,0,2,01-Jun,14,0,0,0,6.25
494,Abdul Wahid (Saudi),2019-2020,8,43,17*,10.75,0,9,Apr-14,18,0,2,0,-7.24
495,Abu Hider (BDESH),2018-2018,8,44,22*,-,0,3,Jan-14,76,0,2,0,-
496,Abdul Hashmi (DEN),2019-2019,8,70,31,17.5,0,-,-,-,-,1,1,-
497,KK Ahuja (Mex),2019-2019,8,28,8,4,0,-,-,-,-,2,3,-
498,CM Akachukwu (NGA),2019-2019,8,14,8,7,0,6,Feb-34,25.16,0,2,0,-18.16
499,Ammad Uddin (BHR),2019-2020,8,176,41*,29.33,0,0,-,-,0,0,0,-
500,Anasim Khan (BHR),2019-2020,8,51,22,10.2,0,0,-,-,0,1,0,-
501,R Ankad (Mex),2019-2019,8,68,40*,17,0,5,Mar-22,35.6,0,2,0,-18.59
502,Aritra Dutta (SGP),2019-2019,8,116,33,14.5,0,-,-,-,-,1,0,-
503,Baljit Singh (ITA),2019-2019,8,4,3,1.33,0,12,Apr-20,10.58,0,1,0,-9.24
504,T Bavuma (SA),2019-2020,8,249,49,35.57,0,-,-,-,-,6,0,-
505,S Bhari (NEPAL),2019-2020,8,1,1*,0.5,0,7,Feb-22,25.14,0,0,0,-24.64
506,DM Bravo (WI),2018-2019,8,105,43*,17.5,0,-,-,-,-,2,0,-
507,MS Chapman (NZ),2018-2021,8,136,37*,22.66,0,1,01-Sep,9,0,5,0,13.66
508,DC Delany (IRE),2019-2019,8,7,7,3.5,0,8,02-Dec,27.75,0,0,0,-24.24
509,BFW de Leede (NL),2018-2019,8,98,33,16.33,0,0,-,-,0,3,0,-
510,JL Denly (ENG),2018-2020,8,105,30,21,0,6,Apr-19,14,0,3,0,7
511,Fiaz Ahmed (BHR),2019-2020,8,166,62*,33.2,0,-,-,-,-,7,0,-
512,P Florin (ROM),2019-2020,8,19,14,6.33,0,6,02-Mar,11.33,0,0,0,-4.99
513,NA Greenwood (JER),2019-2019,8,154,43,19.25,0,1,01-Apr,14,0,5,0,5.25
514,L Gregory (ENG),2019-2020,8,35,15,7,0,1,01-Oct,92,0,0,0,-84.99
515,OJ Hairs (SCOT),2019-2019,8,105,26,15,0,-,-,-,-,1,0,-
516,R Hekure (PNG),2019-2019,8,6,2*,2,0,1,01-Jun,37,0,4,0,-34.99
517,Ibrahim Rizan (Mald),2019-2020,8,23,9*,7.66,0,1,Jan-22,92,0,4,0,-84.33
518,Imran Anwar (BHR),2019-2020,8,35,16*,11.66,0,10,02-Oct,21.2,0,2,0,-9.53
519,Imran Ali Butt (BHR),2019-2020,8,127,58,15.87,0,-,-,-,-,1,1,-
520,B Ivanov (BUL),2019-2020,8,45,21*,22.5,0,0,-,-,0,2,0,-
521,H Ivanov (BUL),2019-2020,8,39,15,9.75,0,0,-,-,0,3,0,-
522,DF Jacobs (THAI),2019-2020,8,101,28,12.62,0,4,Apr-13,6.5,0,2,0,6.12
523,KA Jamieson (NZ),2020-2021,8,41,30,20.5,0,4,Feb-15,70.25,0,3,0,-49.74
524,GSNFG Jayasuriya (SL),2016-2020,8,85,34,12.14,0,0,-,-,0,2,0,-
525,MO Jones (BMUDA),2019-2019,8,81,27,16.2,0,4,Feb-26,29,0,1,0,-12.79
526,HJ Jordaan (THAI),2019-2020,8,166,37*,23.71,0,-,-,-,-,1,0,-
527,Kaleemullah (OMAN),2017-2020,8,24,15,8,0,3,Feb-23,56.66,0,1,0,-48.66
528,AR McBrine (IRE),2016-2017,8,51,14*,10.2,0,3,01-Nov,17.66,0,2,0,-7.46
529,NA Maiolo (ITA),2019-2019,8,106,39*,17.66,0,7,02-Aug,21.71,0,2,0,-4.04
530,Manpreet Singh (ITA),2019-2019,8,83,36,13.83,0,-,-,-,-,6,3,-
531,Mashrafe Mortaza (BDESH),2016-2017,8,20,9*,4,0,5,Feb-32,43.2,0,1,0,-39.19
532,GP Meade (ITA),2019-2019,8,57,18,11.4,0,-,-,-,-,3,0,-
533,J Mees (LUX),2019-2020,8,137,67*,34.25,0,-,-,-,-,6,1,-
534,Mehran Khan (OMAN),2017-2019,8,48,29,9.6,0,0,-,-,0,2,0,-
535,Mohammed Shami (INDIA),2016-2020,8,-,-,-,-,7,Feb-25,43.28,0,0,0,-
536,J Mulder (IRE),2016-2017,8,6,5*,3,0,12,Apr-16,16,0,2,0,-12.99
537,GRD Munasinghe (ITA),2019-2019,8,5,4*,1.66,0,9,04-Nov,21.22,0,4,0,-19.55
538,Muslim Yar (GER),2019-2020,8,2,2,2,0,7,Feb-17,21,0,2,0,-18.99
539,A Nehra (INDIA),2016-2017,8,-,-,-,-,7,Mar-28,29.28,0,0,0,-
540,SN Netravalkar (USA),2019-2019,8,19,12,19,0,4,Feb-28,40.25,0,4,0,-21.24
541,GH O'Brien (BMUDA),2019-2019,8,18,7,9,0,8,Feb-14,23.87,0,2,0,-14.87
542,NM Odhiambo (KENYA),2019-2019,8,15,10,5,0,6,Mar-30,32,0,4,0,-26.99
543,IO Okpe (NGA),2019-2019,8,84,19,10.5,0,6,Feb-17,31.33,0,1,0,-20.83
544,SA Okpe (NGA),2019-2019,8,25,12,5,0,6,Feb-22,15.66,0,2,0,-10.66
545,E Otieno (KENYA),2019-2019,8,4,3*,4,0,8,Mar-29,24,0,1,0,-19.99
546,AM Oyede (NGA),2019-2019,8,73,39,10.42,0,1,Jan-14,44,0,2,0,-33.57
