,Player,Span,Mat,Runs,HS,Bat_Av,hundred,Wkts,BBI,Bowl_Av,five,Ct,St,Ave_Diff
822,Raja Adeel (ESP),2019-2020,5,-,-,-,-,5,Feb-15,14.2,0,1,0,-
823,Ravinder Singh (MLT),2019-2020,5,48,34,16,0,1,Jan-36,72,0,0,0,-55.99
824,Raza Iqbal (NOR),2019-2019,5,87,39,17.4,0,5,Feb-20,17,0,1,0,0.4
825,Razmal Shigiwal (Aut),2019-2019,5,100,53,33.33,0,-,-,-,-,0,0,-
826,MJ Richardson (GER),2019-2020,5,115,40,57.5,0,-,-,-,-,1,3,-
827,CP Rizwan (UAE),2019-2019,5,80,44,20,0,-,-,-,-,0,0,-
828,Rizwan Mahmood (DEN),2019-2019,5,76,37,19,0,-,-,-,-,0,0,-
829,S Rossi (Arg),2019-2019,5,29,13,9.66,0,4,Feb-15,5.25,0,2,0,4.41
830,S Saeed (Mald),2019-2019,5,2,2,2,0,1,Jan-24,95,0,2,0,-92.99
831,MM Sarwar (KUW),2019-2019,5,9,8,4.5,0,4,Feb-13,24.75,0,1,0,-20.24
832,Sayed Monib (KUW),2020-2020,5,19,11,9.5,0,7,Feb-17,19,0,2,0,-9.49
833,Shahbaz Badar (BHR),2019-2020,5,66,24,13.2,0,-,-,-,-,0,0,-
834,A Sharafu (UAE),2020-2020,5,34,12,11.33,0,-,-,-,-,1,0,-
835,D Sheeli (KUW),2019-2020,5,41,19,8.2,0,-,-,-,-,4,0,-
836,ZK Shem (VAN),2019-2019,5,1,1*,-,0,1,Jan-36,72,0,0,0,-
837,Shoaib Qureshi (Fin),2019-2019,5,27,12,6.75,0,6,Feb-22,18.16,0,2,0,-11.41
838,S Smith (BMUDA),2019-2019,5,14,7*,-,0,-,-,-,-,2,0,-
839,Tafseer Ali (NOR),2019-2019,5,31,19,10.33,0,1,Jan-17,37,0,0,0,-26.66
840,JJ Tucker (BMUDA),2019-2019,5,94,50*,23.5,0,1,Jan-16,62,0,1,0,-38.49
841,E Ul Haq (NOR),2019-2019,5,21,10,4.2,0,0,-,-,0,2,0,-
842,Usman Patel (KUW),2020-2020,5,122,59*,40.66,0,-,-,-,-,6,2,-
843,R van der Merwe (Arg),2019-2019,5,1,1*,-,0,8,03-Sep,7.75,0,2,0,-
844,DV Varghese (BUL),2020-2020,5,3,3*,-,0,1,Jan-31,93,0,0,0,-
845,S Waqas Ahmed (NOR),2019-2019,5,9,8*,4.5,0,5,Feb-24,16.6,0,0,0,-12.09
846,Washeem Abbas (MLT),2019-2020,5,33,20*,33,0,2,Jan-27,66,0,2,0,-32.99
847,SMK Waththage (CZK-R),2019-2019,5,3,3,3,0,4,03-Apr,17,0,0,0,-13.99
848,AA Westphal (Mex),2019-2019,5,33,24,6.6,0,5,02-Oct,13,0,1,0,-6.39
849,Zulqarnain Haider (ESP),2019-2019,5,0,0,0,0,3,01-Jul,20,0,1,0,-19.99
850,Aamer Ikram (PORT),2019-2019,4,58,23,14.5,0,-,-,-,-,0,0,-
851,SA Abbott (AUS),2019-2020,4,12,12*,-,0,3,Feb-14,34.33,0,2,0,-
852,Abdul Majid (BHR),2020-2020,4,15,12,15,0,8,Apr-23,9.75,0,0,0,5.25
853,Abdul Shakoor (ROM),2019-2020,4,27,20,13.5,0,-,-,-,-,1,2,-
854,IKO Aboagye (Ghana),2019-2019,4,16,7,4,0,6,Mar-26,13.83,0,2,0,-9.83
855,Abrar Bilal (Aut),2019-2019,4,55,37,27.5,0,-,-,-,-,0,3,-
856,F Achelam (UGA),2019-2020,4,12,7,12,0,-,-,-,-,4,1,-
857,Adil Hanif (BHR),2019-2019,4,24,16,12,0,-,-,-,-,0,0,-
858,Ainool Haqqiem (MAL),2019-2019,4,20,12,20,0,-,-,-,-,1,2,-
859,PS Airee (NEPAL),2019-2019,4,28,12,7,0,-,-,-,-,4,1,-
860,Ali Naqi (PORT),2019-2019,4,0,0*,-,0,2,Feb-20,32.5,0,0,0,-
861,HS Alta (TKY),2019-2019,4,1,1*,0.33,0,-,-,-,-,0,0,-
862,Ameer Saiyed (Botsw),2019-2019,4,38,22,12.66,0,0,-,-,0,0,0,-
863,Amir Hayat (UAE),2018-2019,4,3,3,1.5,0,6,Feb-16,17.16,0,0,0,-15.66
864,DK Anefie (Ghana),2019-2019,4,34,18*,17,0,0,-,-,0,0,0,-
865,DNA Ankrah (Ghana),2019-2019,4,22,12,7.33,0,2,Jan-21,42.5,0,0,0,-35.16
866,Anowarul Islam (THAI),2019-2019,4,15,9,3.75,0,0,-,-,0,3,0,-
867,Ansar Iqbal (NOR),2019-2019,4,64,40,16,0,0,-,-,0,0,0,-
868,Anshuman Rath (HKG),2016-2017,4,87,44,21.75,0,3,03-Jun,6.33,0,2,0,15.41
869,S Appu (MLT),2019-2019,4,8,6,2.66,0,3,Jan-21,24.66,0,0,0,-21.99
870,S Arachchige (ITA),2019-2019,4,0,0,0,0,2,Feb-15,21,0,1,0,-20.99
871,B Arora (MLT),2019-2019,4,64,28,16,0,1,Jan-26,75,0,0,0,-58.99
872,V Ateak (Ghana),2019-2019,4,1,1*,-,0,3,Feb-36,31.33,0,1,0,-
873,Atif Kamal (LUX),2019-2019,4,11,11,3.66,0,2,02-May,45,0,1,0,-41.33
874,JJ Atkinson (HKG),2020-2020,4,107,50,53.5,0,-,-,-,-,3,0,-
875,R Avery (),2019-2019,4,10,9,3.33,0,4,Feb-13,16.5,0,0,0,-13.16
876,F Baaleri (Ghana),2019-2019,4,42,17,10.5,0,-,-,-,-,3,0,-
877,Babar Hayat (HKG),2016-2017,4,75,49,18.75,0,-,-,-,-,1,0,-
878,KS Bagabena (Ghana),2019-2019,4,32,23*,32,0,0,-,-,0,1,0,-
879,JD Baker (Samoa),2019-2019,4,18,11*,-,0,4,Feb-32,26.75,0,1,0,-
880,R Bakum (Ghana),2019-2019,4,45,18,11.25,0,-,-,-,-,0,0,-
881,TC Barker (LUX),2019-2019,4,27,18,6.75,0,-,-,-,-,0,0,-
882,Bashir Shah (DEN),2019-2019,4,2,1*,-,0,7,Mar-14,10.85,0,0,0,-
883,Basil Hameed (UAE),2020-2020,4,37,23,12.33,0,-,-,-,-,4,0,-
884,A Bhagwat (HKG),2019-2019,4,5,3,1.25,0,-,-,-,-,2,0,-
885,SR Bhudia (KENYA),2019-2019,4,4,3,2,0,1,01-Jun,63,0,1,0,-60.99
886,MP Biddappa (PHI),2019-2019,4,35,22*,35,0,-,-,-,-,3,1,-
887,K Birkenstock (NAM),2019-2019,4,64,59,32,0,-,-,-,-,0,0,-
888,PRP Boissevain (NL),2019-2019,4,7,7*,7,0,3,Jan-19,38.66,0,4,0,-31.66
889,DAJ Bracewell (NZ),2017-2019,4,44,44,22,0,3,02-Oct,9.66,0,2,0,12.33
890,PR Brown (ENG),2019-2019,4,4,4*,-,0,3,Jan-29,42.66,0,2,0,-
891,S Browne (LUX),2020-2020,4,41,21,10.25,0,-,-,-,-,5,0,-
892,P Buccimazza (PORT),2019-2019,4,2,1,1,0,3,Feb-18,28.66,0,0,0,-27.66
893,DE Burgess (Samoa),2019-2019,4,6,3,1.5,0,4,Mar-47,21.5,0,1,0,-19.99
894,G Caisley (),2019-2019,4,52,38,13,0,-,-,-,-,0,0,-
895,A Carthew (Chile),2019-2019,4,2,2*,-,0,1,Jan-19,19,0,0,0,-
896,LA Collado (GIBR),2019-2019,4,18,8,18,0,-,-,-,-,2,1,-
897,WJ Cope (LUX),2020-2020,4,13,11,13,0,6,Apr-18,11.66,0,2,0,1.33
898,SJ Cotter (Samoa),2019-2019,4,52,25,13,0,-,-,-,-,0,0,-
899,P Danci (ROM),2019-2020,4,19,12,9.5,0,-,-,-,-,2,0,-
900,CD de Lange (SCOT),2017-2017,4,34,22,17,0,6,Feb-17,16.5,0,2,0,0.5
901,CJ Delany (GIBR),2019-2019,4,37,21,9.25,0,-,-,-,-,1,0,-
902,SDJJ Dima (Moz),2019-2019,4,6,3,3,0,3,Mar-41,19,0,0,0,-15.99
903,J Dunn (VAN),2019-2019,4,36,23,12,0,-,-,-,-,0,0,-
904,AB Dursak (TKY),2019-2019,4,4,3,1,0,0,-,-,0,2,0,-
905,Ehsan Nawaz (HKG),2016-2017,4,0,0,0,0,2,Jan-22,34.5,0,0,0,-34.49
906,RR Emrit (WI),2018-2018,4,17,11,5.66,0,4,Jan-24,39,0,0,0,-33.33
907,L Evile (Samoa),2019-2019,4,6,6,6,0,3,1/0,22.33,0,1,0,-16.33
908,Fakhrul Mohon (PORT),2019-2019,4,0,0,0,0,2,Jan-21,42.5,0,0,0,-42.49
909,JA Fitzgerald (GIBR),2019-2019,4,13,11*,-,0,0,-,-,0,1,0,-
910,JD Freyone (GIBR),2019-2019,4,8,4,2,0,-,-,-,-,2,0,-
911,CJ Gannon (USA),2019-2019,4,12,7*,12,0,3,Feb-21,22.33,0,2,0,-10.33
912,MD Garratt (GIBR),2019-2019,4,1,1,1,0,1,01-Dec,12,0,0,0,-10.99
913,K Gilham (CZK-R),2020-2020,4,3,2*,-,0,3,Jan-16,28.66,0,1,0,-
914,R Goodwin (PHI),2019-2019,4,26,16*,8.66,0,-,-,-,-,1,0,-
915,K Gore (USA),2019-2019,4,4,4*,-,0,8,03-May,8.75,0,1,0,-
916,K Gupta (Chile),2019-2019,4,46,19*,15.33,0,-,-,-,-,3,1,-
917,Hafez Farooq (Peru),2019-2019,4,69,24,17.25,0,2,Feb-14,7,0,1,0,10.25
918,S Hallett (Peru),2019-2019,4,10,5,2.5,0,-,-,-,-,4,1,-
919,LHB Harrington-Myers (Caym),2019-2019,4,32,17*,10.66,0,2,Feb-13,13,0,0,0,-2.33
920,Hayatullah Niazi (NOR),2019-2019,4,59,27,19.66,0,3,Jan-19,27,0,0,0,-7.33
921,JR Hazlewood (AUS),2016-2020,4,-,-,-,-,2,Jan-23,63,0,2,0,-
922,H Helva (TKY),2019-2019,4,12,7,3,0,-,-,-,-,0,0,-
923,J Hill (PHI),2019-2019,4,15,6,5,0,3,Feb-27,16.66,0,0,0,-11.66
924,Hirenkumar Patel (Chile),2019-2019,4,74,22,18.5,0,7,Apr-21,11.71,0,2,0,6.78
925,J Hirschi (MLT),2019-2019,4,37,13,9.25,0,3,Feb-18,32,0,0,0,-22.74
926,MG Hunter (GIBR),2019-2019,4,45,27,15,0,4,Feb-22,15.75,0,1,0,-0.74
927,Imran Ali (KUW),2019-2019,4,5,5*,5,0,7,Mar-16,19.42,0,2,0,-14.42
928,Imran Ashraf (QAT),2019-2020,4,-,-,-,-,2,Feb-23,56.5,0,1,0,-
929,Imran Butt (BHR),2020-2020,4,30,17,10,0,5,Feb-24,20.8,0,1,0,-10.79
930,Imran Khan (PORT),2019-2019,4,39,36,19.5,0,0,-,-,0,0,0,-
931,Irfan Bhima (MWI),2019-2019,4,98,52,24.5,0,6,Mar-14,8.5,0,0,0,16
932,Irfan Mir (Chile),2019-2019,4,19,18*,19,0,1,Jan-26,73,0,0,0,-53.99
933,Ismat Ullah (),2019-2019,4,44,42,11,0,1,01-Sep,16,0,2,0,-4.99
934,Jagjit Singh (Peru),2019-2019,4,24,12,6,0,0,-,-,0,5,0,-
935,Jasdeep Singh (USA),2019-2019,4,31,31,15.5,0,7,Feb-18,20,0,1,0,-4.49
936,Junaid Aziz (BHR),2020-2020,4,51,24*,25.5,0,2,Feb-24,24,0,0,0,1.5
937,Kamran Akmal (PAK),2017-2017,4,90,48,22.5,0,-,-,-,-,0,0,-
938,S Kansoy (TKY),2019-2019,4,2,2,0.5,0,0,-,-,0,0,0,-
939,Karweng NG (PHI),2019-2019,4,21,14,7,0,0,-,-,0,2,0,-
940,D Kegasitswe (Botsw),2019-2019,4,5,4*,-,0,2,Jan-43,78,0,0,0,-
941,Khalid Ahmadi (Belg),2020-2020,4,39,25*,39,0,6,Mar-14,13.16,0,0,0,25.83
942,N Khosla (MLT),2019-2019,4,84,27,21,0,-,-,-,-,1,0,-
943,JH Kiani (PHI),2019-2019,4,25,13,12.5,0,1,Jan-26,26,0,0,0,-13.49
944,S Kizilkaya (TKY),2019-2019,4,17,8,4.25,0,4,02-Sep,18.5,0,0,0,-14.24
945,AC Kose (TKY),2019-2019,4,15,15,3.75,0,3,Feb-62,38.66,0,0,0,-34.91
946,Kuldeep Singh (PHI),2019-2019,4,8,6,2.66,0,-,-,-,-,1,0,-
947,R Kumar (ROM),2019-2019,4,37,32,18.5,0,5,Feb-28,19.6,0,1,0,-1.09
948,S Kushretha (LUX),2020-2020,4,37,28,12.33,0,1,Jan-27,102,0,2,0,-89.66
949,NJ Maddinson (AUS),2018-2018,4,7,5,3.5,0,-,-,-,-,1,0,-
950,Mahedi Hasan (BDESH),2018-2020,4,20,11,10,0,1,Jan-14,96,0,1,0,-85.99
951,BF Mailata (Samoa),2019-2019,4,38,17,9.5,0,0,-,-,0,1,0,-
952,A Makesh (KUW),2019-2019,4,57,57,57,0,1,Jan-19,79,0,1,0,-21.99
953,MSS Mandy (Chile),2019-2019,4,54,32,13.5,0,3,Feb-19,14.33,0,4,0,-0.83
954,T Maruma (ZIM),2016-2019,4,37,23*,12.33,0,-,-,-,-,2,0,-
955,B Mavuta (ZIM),2018-2021,4,51,28,51,0,2,Jan-19,47,0,2,0,4
956,V Mbazo (Botsw),2019-2019,4,51,27*,25.5,0,-,-,-,-,0,0,-
957,Md Shafiqul Haque (THAI),2019-2019,4,88,38,22,0,1,Jan-25,25,0,1,2,-2.99
958,NSK Mehta (Belg),2020-2020,4,-,-,-,-,5,Feb-15,23.4,0,1,0,-
959,PHKD Mendis (SL),2018-2019,4,66,41,16.5,0,0,-,-,0,1,0,-
960,Mian Mehmood (PORT),2019-2019,4,29,13,7.25,0,-,-,-,-,1,0,-
961,AJ Michael (Samoa),2019-2019,4,67,23,22.33,0,0,-,-,0,1,0,-
962,DP Michael (Samoa),2019-2019,4,85,55*,28.33,0,1,Jan-32,32,0,0,0,-3.66
963,Mirza Ahsan (Aut),2019-2019,4,66,51*,66,0,-,-,-,-,0,0,-
964,Mohammad Irfan (PAK),2016-2019,4,-,-,-,-,2,Jan-27,64.5,0,0,0,-
965,Mohammed Asghar (KUW),2019-2019,4,124,45,31,0,0,-,-,0,2,0,-
966,Mohsin Hub (Peru),2019-2019,4,36,16*,12,0,2,Jan-14,19.5,0,0,0,-7.49
967,Muhammad Ansar (KUW),2020-2020,4,5,5,5,0,6,Mar-27,23.83,0,0,0,-18.83
968,Muhammad Hamayun (Saudi),2019-2019,4,13,8,6.5,0,-,-,-,-,0,0,-
969,Muhammad Muneeb (Belg),2020-2020,4,12,6,3,0,0,-,-,0,0,0,-
970,Muhammad Saleem (),2019-2019,4,59,52,14.75,0,5,Mar-19,9,0,1,0,5.75
971,Muhammad Wafiq (MAL),2019-2019,4,9,6*,4.5,0,5,03-Oct,22.8,0,0,0,-18.29
972,FF Mulivai (Samoa),2019-2019,4,70,48,17.5,0,0,-,-,0,0,0,-
973,Musawar Shah (QAT),2019-2020,4,0,0*,-,0,1,Jan-20,73,0,2,0,-
974,Nadeem Ahmed (HKG),2016-2017,4,7,7,7,0,5,Feb-24,23,0,2,0,-15.99
975,Najjam Shahzad (PORT),2019-2019,4,126,53*,126,0,4,Feb-16,16.25,0,1,0,109.75
976,DM Nakrani (UGA),2019-2019,4,52,19,17.33,0,5,Feb-29,18.6,0,1,0,-1.26
977,N Nankov (BUL),2019-2020,4,15,14,7.5,0,1,Jan-13,28,0,2,0,-20.49
978,Nazwan Ismail (Mald),2019-2020,4,7,5*,-,0,-,-,-,-,2,0,-
979,K Nestor (GIBR),2019-2019,4,33,16,11,0,0,-,-,0,2,0,-
980,R Ngarava (ZIM),2019-2021,4,-,-,-,-,5,Feb-43,31.2,0,0,0,-
981,F Nkhoma (MWI),2019-2019,4,-,-,-,-,-,-,-,-,0,0,-
982,Noor Ali Zadran (AFG),2016-2017,4,83,35,20.75,0,-,-,-,-,2,0,-
983,HC Overdijk (NL),2018-2019,4,13,13,13,0,3,Feb-23,24,0,2,0,-10.99
984,E Packard (GIBR),2019-2019,4,40,26,10,0,2,01-Aug,39.5,0,1,0,-29.49
985,BA Pai (GIBR),2019-2019,4,124,52,31,0,6,Mar-14,13.66,0,0,0,17.33
986,I Pandey (NEPAL),2019-2019,4,33,22,8.25,0,-,-,-,-,1,0,-
987,NK Patel (USA),2019-2019,4,5,5*,5,0,5,02-Aug,12.2,0,5,0,-7.19
988,AK Perera (SL),2019-2019,4,55,16,13.75,0,-,-,-,-,0,0,-
989,J Perman (ESP),2019-2020,4,1,1,1,0,4,Feb-18,24,0,1,0,-22.99
990,P Suanchuai (THAI),2020-2020,4,18,13*,6,0,-,-,-,-,1,1,-
991,H Pragji (Botsw),2019-2019,4,38,30*,12.66,0,-,-,-,-,0,0,-
992,Qalandar Khan (QAT),2019-2019,4,48,25,16,0,-,-,-,-,0,0,-
993,Raag Kapur (HKG),2019-2019,4,12,6,6,0,1,Jan-26,49,0,2,0,-42.99
994,A Rangaswamy (Botsw),2019-2019,4,10,7,3.33,0,7,Apr-21,11.85,0,1,0,-8.52
995,Riazat Ali Shah (UGA),2019-2019,4,140,53*,70,0,1,Jan-20,58,0,0,0,12
996,MJG Rippon (NL),2017-2018,4,120,42,40,0,3,Feb-33,22.66,0,1,0,17.33
997,Robert Raina (THAI),2020-2020,4,35,20,8.75,0,-,-,-,-,0,0,-
998,LH Rodrigues (),2019-2019,4,7,4*,7,0,5,Mar-15,12.2,0,2,0,-5.19
999,TK Saha (Fin),2019-2019,4,26,18*,26,0,2,Jan-22,44,0,0,0,-17.99
1000,V Saini (ROM),2020-2020,4,65,44*,32.5,0,3,02-Aug,25,0,3,0,7.5
1001,DR Sams (AUS),2020-2021,4,54,41,27,0,4,Feb-40,39,0,2,0,-11.99
1002,A Sarma (GER),2019-2020,4,57,28,19,0,-,-,-,-,1,0,-
1003,Sazzad Hosen (Belg),2020-2020,4,73,34,18.25,0,0,-,-,0,0,0,-
1004,N Senamontree (THAI),2020-2020,4,8,4,2.66,0,5,Feb-25,19,0,0,0,-16.33
1005,M Sert (TKY),2019-2019,4,42,16,14,0,3,Feb-38,31,0,0,0,-16.99
1006,Shafraz Jaleel (Mald),2019-2019,4,17,17,5.66,0,-,-,-,-,4,2,-
1007,Shahid Afridi (ICC/PAK),2016-2018,4,52,19,13,0,3,Feb-40,42,0,1,0,-28.99
1008,Shaikh Ashraf (Peru),2019-2019,4,82,38,20.5,0,1,Jan-18,34,0,2,0,-13.49
1009,PH Shamdasani (Peru),2019-2019,4,61,37,20.33,0,6,02-Aug,11.66,0,2,0,8.66
1010,Sharafuddin Ashraf (AFG),2018-2019,4,28,18,9.33,0,2,Feb-31,41,0,1,0,-31.66
1011,Shoaib Gazi Hossain (Chile),2019-2019,4,2,2,2,0,0,-,-,0,0,0,-
1012,P Silas (Botsw),2019-2019,4,39,20,13,0,0,-,-,0,3,0,-
1013,S Singh (PHI),2019-2019,4,-,-,-,-,3,Mar-32,36.66,0,0,0,-
1014,RM Siri (Arg),2019-2019,4,82,49*,27.33,0,-,-,-,-,0,0,-
1015,DC Smith (PHI),2019-2019,4,49,22,16.33,0,3,01-Aug,29.66,0,0,0,-13.33
1016,S Sola (Samoa),2019-2019,4,37,18,12.33,0,0,-,-,0,0,0,-
1017,CB Sole (SCOT),2017-2018,4,4,4*,-,0,2,Feb-38,70.5,0,1,0,-
1018,M Spry (Peru),2019-2019,4,5,3*,5,0,7,04-Aug,8.85,0,0,0,-3.85
1019,A Srivastav (Chile),2019-2019,4,25,21,6.25,0,3,Feb-28,24.33,0,1,0,-18.08
1020,F Stoman (PORT),2019-2019,4,40,21*,13.33,0,-,-,-,-,1,1,-
1021,Sultan Ahmed (OMAN),2017-2017,4,18,17,9,0,-,-,-,-,4,0,-
1022,MJ Swepson (AUS),2018-2020,4,15,12*,-,0,7,Mar-23,15.14,0,4,0,-
1023,Tahir Dar (BHR),2019-2019,4,25,15,12.5,0,3,Feb-31,42.66,0,2,0,-30.16
1024,Tanveer Ahmed (HKG),2016-2017,4,7,7*,-,0,2,Feb-29,42.5,0,1,0,-
1025,Tariq Aziz (PORT),2019-2019,4,40,23,13.33,0,6,Mar-20,11.66,0,0,0,1.66
1026,SF Tiai (Samoa),2019-2019,4,21,11,7,0,3,Feb-16,27.33,0,0,0,-20.33
1027,OFJ Tonuu (Samoa),2019-2019,4,13,6*,6.5,0,-,-,-,-,3,0,-
1028,T Turan (TKY),2019-2019,4,1,1,0.25,0,2,Jan-32,55.5,0,0,0,-55.24
1029,W Uisuk (THAI),2020-2020,4,11,5,2.75,0,0,-,-,0,1,0,-
1030,R Ulutuna (TKY),2019-2019,4,3,1,0.75,0,0,-,-,0,2,0,-
1031,Umar Amin (PAK),2017-2018,4,66,45,22,0,-,-,-,-,1,0,-
1032,TCW Veillard (GUE),2019-2019,4,11,8,11,0,4,Jan-15,23.25,0,1,0,-12.24
1033,Vinod Kumar (ESP),2019-2020,4,28,17,9.33,0,-,-,-,-,2,0,-
1034,Wahidullah Usmani (Belg),2020-2020,4,122,72,30.5,0,-,-,-,-,1,0,-
1035,Walid Ghauri (NOR),2019-2019,4,93,44*,31,0,1,Jan-16,31,0,0,0,0
1036,Waqar Khan (Peru),2019-2019,4,2,2*,2,0,8,Mar-21,10.75,0,1,0,-8.74
1037,SR Watson (AUS),2016-2016,4,96,44*,48,0,5,Feb-23,20.6,0,2,0,27.4
1038,Yasar Haroon (),2019-2019,4,45,29,11.25,0,5,Feb-18,14.4,0,2,0,-3.14
1039,Zawar Farid (UAE),2019-2019,4,67,55,16.75,0,1,Jan-34,35,0,1,0,-18.24
1040,Zohaib Sarwar (PORT),2019-2019,4,45,33*,15,0,1,01-Aug,51,0,0,0,-35.99
1041,Zubaidi Zulkifle (MAL),2019-2019,4,31,22,7.75,0,-,-,-,-,1,0,-
1042,KJ Abbott (SA),2016-2016,3,-,-,-,-,7,Mar-41,13,0,0,0,-
1043,Abdullah Shafique (PAK),2020-2020,3,41,41*,20.5,0,-,-,-,-,0,0,-
1044,Abdul Rahman (Aut),2019-2019,3,-,-,-,-,4,Feb-37,18,0,0,0,-
1045,Abdul Waheed (Saudi),2020-2020,3,64,41*,32,0,3,02-Nov,4.33,0,3,0,27.66
1046,M Aboagye (Ghana),2019-2019,3,47,24,23.5,0,0,-,-,0,0,0,-
1047,Abu Jayed (BDESH),2018-2018,3,3,2,1.5,0,4,Feb-27,26.5,0,1,0,-24.99
1048,Adil Butt (Saudi),2020-2020,3,8,6*,8,0,4,Feb-15,13.75,0,2,0,-5.74
1049,Ahsan Malik (NL),2017-2017,3,14,11*,14,0,1,Jan-34,93,0,1,0,-78.99
1050,Ainool Hafizs (MAL),2019-2019,3,41,21,13.66,0,-,-,-,-,0,0,-
1051,F Akankwasa (UGA),2020-2020,3,95,66,31.66,0,1,Jan-37,37,0,0,0,-5.33
1052,NN Akhter (MLT),2020-2020,3,-,-,-,-,4,Mar-35,15,0,0,0,-
1053,Ali Mohammadipour (Iran),2020-2020,3,41,19,20.5,0,-,-,-,-,0,0,-
1054,Amar Sharma (MLT),2020-2020,3,20,20,20,0,4,Mar-23,15.5,0,1,0,4.5
1055,Amjad Khan (UAE),2016-2016,3,4,2,2,0,-,-,-,-,2,0,-
1056,B Angeltti (Arg),2019-2019,3,1,1,1,0,-,-,-,-,0,0,-
1057,MA Aponso (SL),2018-2018,3,0,0,0,0,4,Feb-29,19.75,0,0,0,-19.74
1058,Arshad Mazarzei (Iran),2020-2020,3,7,5,2.33,0,-,-,-,-,1,0,-
1059,Arslan Ahmed (PORT),2019-2019,3,12,11,4,0,-,-,-,-,0,0,-
1060,Arslan Ahmed (),2019-2019,3,5,5,5,0,4,Mar-15,10,0,0,0,-4.99
1061,Asad Ali Rehemtulla (BUL),2020-2020,3,5,3,2.5,0,2,Feb-16,23.5,0,1,0,-20.99
1062,Asif Bevinje (ROM),2020-2020,3,10,8,5,0,3,01-Nov,19,0,0,0,-13.99
1063,Aslam Mohammad (),2019-2019,3,7,7,7,0,-,-,-,-,1,0,-
1064,A Aspiotis (),2019-2019,3,3,3*,-,0,4,Feb-24,17.75,0,0,0,-
1065,Asrar Ahmed (),2019-2019,3,25,25,25,0,4,02-Apr,11.5,0,2,0,13.5
1066,S Ateak (Ghana),2019-2019,3,45,26,15,0,-,-,-,-,0,0,-
1067,AJ Ayannaike (NGA),2019-2019,3,44,33,14.66,0,-,-,-,-,2,1,-
1068,Aziz Mohammad (Belg),2019-2019,3,19,19,9.5,0,2,Jan-18,42,0,0,0,-32.49
1069,Babar Ali (BHR),2019-2019,3,1,1*,-,0,5,Feb-18,14,0,3,0,-
1070,MO Bacarese (GIBR),2019-2019,3,24,13,12,0,2,Jan-15,25.5,0,1,0,-13.49
1071,G Bakiweyem (Ghana),2019-2019,3,27,15*,27,0,3,Feb-15,20.66,0,1,0,6.33
1072,V Balakrishnan (Botsw),2019-2019,3,63,29*,31.5,0,-,-,-,-,3,0,-
1073,KNA Bandara (SL),2021-2021,3,75,44*,37.5,0,0,-,-,0,1,0,-
1074,AA Banner (Blz),2019-2019,3,44,28,22,0,1,Jan-18,39,0,2,0,-16.99
1075,GG Banner (Blz),2019-2019,3,77,47,38.5,0,2,02-Oct,5,0,2,0,33.5
1076,HH Banner (Blz),2019-2019,3,9,6,9,0,4,Feb-18,16.75,0,0,0,-7.74
1077,KK Bishnoi (),2019-2019,3,16,14,16,0,0,-,-,0,0,0,-
1078,CC Blake (VAN),2019-2019,3,-,-,-,-,1,Jan-15,49,0,0,0,-
1079,TA Blundell (NZ),2017-2018,3,17,14,17,0,-,-,-,-,1,0,-
1080,PW Borren (NL),2017-2017,3,20,15,6.66,0,-,-,-,-,1,0,-
1081,TS Braat (NL),2019-2019,3,6,5,3,0,4,Mar-26,17.5,0,0,0,-14.49
1082,N Buckle (GUE),2019-2019,3,1,1*,-,0,3,Mar-26,25.33,0,1,0,-
1083,T Bukenya (UGA),2020-2020,3,9,8*,-,0,3,Feb-19,30.66,0,0,0,-
1084,C Carter (HKG),2016-2017,3,17,17,17,0,-,-,-,-,1,1,-
1085,D Cato (Caym),2019-2019,3,30,20,10,0,-,-,-,-,0,0,-
1086,VD Chandra (PNM),2019-2019,3,37,26,18.5,0,-,-,-,-,2,0,-
1087,P Chandran (Mex),2019-2019,3,31,23,10.33,0,2,Jan-22,22.5,0,1,0,-12.16
1088,Charanjeet Singh (ITA),2019-2019,3,8,8*,-,0,1,Jan-18,35,0,0,0,-
1089,BB Chari (ZIM),2019-2019,3,21,19,7,0,-,-,-,-,2,0,-
1090,J Cutinho (CRC),2019-2019,3,93,46,31,0,0,-,-,0,1,0,-
1091,BCJ Cutting (World),2017-2017,3,5,5,5,0,2,Jan-38,58,0,0,0,-52.99
1092,DK Dahani (Iran),2020-2020,3,7,4,2.33,0,-,-,-,-,1,0,-
1093,MD Dai (PNG),2017-2017,3,60,31,20,0,0,-,-,0,0,0,-
1094,I Danladi (NGA),2019-2019,3,37,37,18.5,0,4,02-Oct,13,0,0,0,5.5
1095,ST de Silva (SL),2017-2017,3,3,3,1.5,0,0,-,-,0,0,0,-
1096,V Dikov (BUL),2019-2019,3,-,-,-,-,-,-,-,-,0,0,-
1097,N Dipakkumar Patel (PNM),2019-2019,3,0,0,0,0,2,Feb-17,21,0,0,0,-20.99
1098,Emran Shahbakhsh (Iran),2020-2020,3,2,2*,1,0,0,-,-,0,1,0,-
1099,Fahad Ali (),2019-2019,3,3,2,1,0,-,-,-,-,4,1,-
1100,Fiaz Ahmad (KUW),2019-2019,3,0,0*,-,0,1,Jan-13,56,0,0,0,-
1101,KK Flowers (Blz),2019-2019,3,20,17,10,0,1,Jan-16,16,0,0,0,-5.99
