team_name,Player_name,NATIONALITY,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Season,NO in HS,dream_11_points,ball_for_4,ball_for_6,consistency
RR,CHMorris,INT,48.0,29.0,17.0,439.0,175.0,140.8,265.0,595.42,0.0,2.0,3.0,33.0,23.0,older_season,4.0,542.0,8.030303030303031,11.521739130434783,18.689655172413794
RR,MKLomror,IND,7.0,6.0,,87.0,,,78.0,471.14000000000004,0.0,0.0,0.0,5.0,3.0,New_season,0.0,104.0,15.6,26.0,17.333333333333332
RR,RTewatia,IND,6.0,3.0,1.0,35.0,31.0,35.0,24.0,295.78999999999996,0.0,0.0,0.0,4.0,1.0,older_season,1.0,47.0,6.0,24.0,15.666666666666666
RR,SDube,IND,15.0,13.0,,169.0,,,138.0,244.06,0.0,0.0,0.0,6.0,12.0,New_season,0.0,199.0,23.0,11.5,15.307692307692308
RR,YBKJaiswal,IND,3.0,3.0,,40.0,,,44.0,90.9,0.0,0.0,1.0,2.0,2.0,New_season,0.0,44.0,22.0,22.0,14.666666666666666
RR,MVohra,IND,4.0,4.0,,55.0,,,47.0,117.02,0.0,0.0,1.0,2.0,4.0,New_season,0.0,57.0,23.5,11.75,14.25
RR,KCCariappa,IND,1.0,1.0,,9.0,,,3.0,300.0,0.0,0.0,0.0,0.0,1.0,New_season,1.0,11.0,0.0,3.0,11.0
RR,JCArcher,INT,35.0,23.0,,195.0,,,124.0,418.28000000000003,0.0,0.0,3.0,11.0,14.0,New_season,1.0,238.0,11.272727272727273,8.857142857142858,10.347826086956522
RR,SGopal,IND,39.0,16.0,,150.0,,,130.0,342.93,0.0,0.0,3.0,16.0,1.0,New_season,1.0,164.0,8.125,130.0,10.25
RR,CHMorris,INT,22.0,15.0,,112.0,,,84.0,425.29999999999995,0.0,0.0,4.0,6.0,7.0,New_season,1.0,134.0,14.0,12.0,8.933333333333334
RR,JDUnadkat,IND,33.0,12.0,,59.0,,,54.0,231.5,0.0,0.0,1.0,6.0,1.0,New_season,0.0,57.0,9.0,54.0,4.75
RR,AJTye,INT,21.0,10.0,,38.0,,,46.0,184.20999999999998,0.0,0.0,2.0,2.0,2.0,New_season,1.0,34.0,23.0,23.0,3.4
RR,SGopal,IND,6.0,3.0,1.0,14.0,14.0,13.0,27.0,222.5,0.0,0.0,0.0,1.0,0.0,older_season,1.0,9.0,27.0,0.0,3.0
RR,MMarkande,IND,17.0,8.0,,27.0,,,29.0,207.5,0.0,0.0,0.0,3.0,0.0,New_season,1.0,24.0,9.666666666666666,0.0,3.0
RR,KCCariappa,IND,9.0,4.0,1.0,15.0,13.0,14.0,18.0,146.75,0.0,0.0,0.0,0.0,1.0,older_season,1.0,11.0,0.0,18.0,2.75
RR,KartikTyagi,IND,10.0,3.0,,4.0,,,6.0,66.66,0.0,0.0,0.0,0.0,0.0,New_season,0.0,2.0,0.0,0.0,0.6666666666666666
RR,JDUnadkat,IND,34.0,6.0,5.0,5.0,4.0,1.0,13.0,156.66,0.0,0.0,1.0,0.0,0.0,older_season,3.0,-9.0,0.0,0.0,-1.5
RR,ASingh,IND,23.0,5.0,1.0,2.0,2.0,1.5,10.0,58.33,0.0,0.0,3.0,0.0,0.0,older_season,1.0,-22.0,0.0,0.0,-4.4
RR,MustafizurRahman,INT,7.0,2.0,,1.0,,,3.0,33.33,0.0,0.0,0.0,0.0,0.0,New_season,0.0,-11.0,0.0,0.0,-5.5
RR,ChetanSakariya,IND,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New_season,0.0,-6.0,0.0,0.0,-inf
RR,AnujRawat,IND,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New_season,0.0,-6.0,0.0,0.0,-inf
RR,ASingh,IND,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New_season,0.0,-6.0,0.0,0.0,-inf
RR,KuldipYadav,IND,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New_season,0.0,-6.0,0.0,0.0,-inf
RR,AnujRawat,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,0.0,
RR,ChetanSakariya,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,0.0,
RR,KartikTyagi,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,0.0,
RR,KuldipYadav,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,0.0,
RR,YBKJaiswal,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,0.0,
RCB,ABdeVilliers,INT,40.0,38.0,,1376.0,,,848.0,487.28,0.0,16.0,1.0,103.0,79.0,New_season,2.0,1777.0,8.233009708737864,10.734177215189874,46.76315789473684
RCB,VKohli,IND,43.0,43.0,,1460.0,,,1093.0,401.90999999999997,1.0,9.0,0.0,121.0,42.0,New_season,1.0,1757.0,9.03305785123967,26.023809523809526,40.86046511627907
RCB,VKohli,IND,149.0,141.0,23.0,4418.0,721.0,370.34,3403.0,1260.8499999999997,4.0,30.0,6.0,382.0,159.0,older_season,2.0,5420.0,8.908376963350785,21.40251572327044,38.43971631205674
RCB,ABdeVilliers,INT,129.0,118.0,27.0,3473.0,809.0,359.40999999999997,2344.0,1410.07,3.0,22.0,8.0,287.0,156.0,older_season,7.0,4306.0,8.167247386759582,15.025641025641026,36.49152542372882
RCB,GJMaxwell,INT,57.0,56.0,7.0,1228.0,279.0,122.56,747.0,822.61,0.0,6.0,9.0,95.0,82.0,older_season,1.0,1529.0,7.863157894736842,9.109756097560975,27.303571428571427
RCB,HVPatel,IND,12.0,6.0,,81.0,,,59.0,269.31,0.0,0.0,1.0,3.0,6.0,New_season,2.0,94.0,19.666666666666668,9.833333333333334,15.666666666666666
RCB,SachinBaby,IND,18.0,10.0,2.0,137.0,48.0,37.75,101.0,293.48,0.0,0.0,1.0,11.0,5.0,older_season,0.0,154.0,9.181818181818182,20.2,15.4
RCB,DTChristian,INT,36.0,31.0,8.0,420.0,90.0,65.07,341.0,443.59000000000003,0.0,0.0,1.0,22.0,18.0,older_season,1.0,474.0,15.5,18.944444444444443,15.290322580645162
RCB,GJMaxwell,INT,25.0,23.0,,277.0,,,226.0,242.71,0.0,0.0,1.0,23.0,9.0,New_season,0.0,318.0,9.826086956521738,25.11111111111111,13.826086956521738
RCB,WashingtonSundar,IND,25.0,17.0,,177.0,,,136.0,321.22,0.0,0.0,1.0,15.0,6.0,New_season,0.0,202.0,9.066666666666666,22.666666666666668,11.882352941176471
RCB,KWRichardson,INT,14.0,4.0,1.0,36.0,28.0,18.0,39.0,244.44,0.0,0.0,0.0,2.0,1.0,older_season,1.0,40.0,19.5,39.0,10.0
RCB,DTChristian,INT,4.0,3.0,,26.0,,,33.0,78.78,0.0,0.0,0.0,0.0,1.0,New_season,0.0,22.0,0.0,33.0,7.333333333333333
RCB,NASaini,IND,26.0,5.0,,29.0,,,31.0,150.0,0.0,0.0,0.0,3.0,0.0,New_season,0.0,32.0,10.333333333333334,0.0,6.4
RCB,MohammedSiraj,IND,29.0,11.0,,46.0,,,50.0,263.62,0.0,0.0,0.0,4.0,1.0,New_season,1.0,46.0,12.5,50.0,4.181818181818182
