,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,hundred,fifties,duck,fours,sixes
36,RD Berrington (SCOT),2017-2019,25,24,7,657,76,38.64,464,141.59,0,3,1,57,24
37,NLTC Perera (ICC/SL/World),2016-2021,35,34,5,656,61,22.62,418,156.93,0,3,4,46,38
38,DJM Short (AUS),2018-2020,23,23,2,642,76,30.57,540,118.88,0,4,1,71,15
39,Tamim Iqbal (BDESH/ICC/World),2016-2020,28,28,0,642,74,22.92,536,119.77,0,3,3,68,18
40,Mohammad Shahzad (AFG),2016-2018,20,20,1,641,80,33.73,478,134.1,0,3,0,81,23
41,Syed Aziz (MAL),2019-2020,23,22,4,637,87,35.38,467,136.4,0,6,2,61,25
42,KJ Coetzer (SCOT),2017-2019,23,23,0,636,89,27.65,481,132.22,0,4,1,72,20
43,MS Dhoni (INDIA),2016-2019,34,29,15,635,56,45.35,468,135.68,0,2,0,50,21
44,Asghar Afghan (AFG),2016-2021,37,35,2,634,55,19.21,566,112.01,0,1,3,40,33
45,Kamran Khan (QAT),2019-2020,21,21,1,630,88,31.5,468,134.61,0,5,0,50,39
46,TP Ura (PNG),2017-2019,20,20,5,628,107*,41.86,438,143.37,1,4,0,49,30
47,MN Samuels (WI),2016-2018,26,26,5,622,89*,29.61,581,107.05,0,2,0,60,23
48,Soumya Sarkar (BDESH),2016-2020,34,34,3,614,62*,19.8,474,129.53,0,2,5,52,27
49,RR Hendricks (SA),2017-2021,23,23,0,613,74,26.65,496,123.58,0,5,1,74,10
50,KA Pollard (WI),2016-2021,34,26,4,613,75*,27.86,463,132.39,0,3,1,27,49
51,Mushfiqur Rahim (BDESH),2016-2020,32,31,5,605,72*,23.26,460,131.52,0,4,3,56,16
52,Muhammad Tanveer (QAT),2019-2020,22,22,6,600,64,37.5,458,131,0,6,1,49,31
53,GC Wilson (IRE),2017-2020,35,29,4,595,65*,23.8,494,120.44,0,3,0,45,15
54,Shaiman Anwar (UAE),2016-2019,14,14,2,588,117*,49,427,137.7,1,5,0,46,28
55,Liton Das (BDESH),2017-2020,26,26,1,587,61,23.48,426,137.79,0,4,2,57,24
56,R Sandaruwan (KUW),2019-2020,15,15,2,577,103,44.38,348,165.8,1,4,2,52,36
57,Hazratullah Zazai (AFG),2016-2020,15,15,1,570,162*,40.71,367,155.31,1,2,1,49,40
58,Najibullah Zadran (AFG),2016-2021,37,33,16,566,69*,33.29,410,138.04,0,2,2,41,30
59,Virandeep Singh (MAL),2019-2020,21,21,1,564,57,28.2,521,108.25,0,2,1,51,18
60,P Khadka (NEPAL),2018-2020,22,21,2,563,106*,29.63,393,143.25,1,3,2,63,25
61,TH David (SGP),2019-2020,14,14,2,558,92*,46.5,352,158.52,0,4,0,50,26
62,Sarfaraz Ahmed (PAK),2016-2020,41,29,9,542,89*,27.1,416,130.28,0,1,2,50,11
63,HE van der Dussen (SA),2018-2020,18,17,3,542,74*,38.71,397,136.52,0,3,1,31,26
64,F du Plessis (SA/World),2016-2020,19,19,1,533,78,29.61,400,133.25,0,3,0,50,20
65,Rohan Mustafa (UAE),2016-2020,27,27,1,526,58,20.23,404,130.19,0,2,3,68,13
66,Shakib Al Hasan (BDESH),2016-2019,25,25,2,521,70*,22.65,411,126.76,0,3,1,56,9
67,Muhammad Usman (UAE),2016-2020,28,25,3,517,89*,23.5,414,124.87,0,3,3,38,16
68,SS Iyer (INDIA),2017-2021,27,25,7,513,67,28.5,393,130.53,0,3,2,39,21
69,LMP Simmons (WI),2016-2021,23,23,6,501,91*,29.47,350,143.14,0,4,2,43,29
70,JE Root (ENG),2016-2019,17,17,3,500,83,35.71,413,121.06,0,3,2,49,7
71,Jatinder Singh (OMAN),2019-2020,17,17,3,497,68*,35.5,390,127.43,0,3,1,56,7
72,Nizakat Khan (HKG),2016-2020,24,24,0,496,62,20.66,369,134.41,0,2,2,57,14
73,BKG Mendis (SL),2016-2020,26,26,0,484,79,18.61,368,131.52,0,5,3,41,21
74,RR Pant (INDIA),2017-2021,31,28,5,482,65*,20.95,393,122.64,0,2,3,35,21
75,Ahmed Shehzad (PAK),2016-2019,18,18,0,478,89,26.55,431,110.9,0,2,0,47,9
76,MD Gunathilaka (SL),2016-2021,23,22,0,477,57,21.68,385,123.89,0,3,0,53,11
77,C de Grandhomme (NZ),2017-2020,32,30,5,474,59,18.96,323,146.74,0,3,4,26,29
78,TP Visee (NL),2017-2019,25,25,0,469,78,18.76,302,155.29,0,3,4,64,17
79,AD Hales (ENG),2016-2019,20,20,2,462,58*,25.66,323,143.03,0,1,1,50,19
80,N Dickwella (SL),2017-2021,23,23,1,461,68,20.95,339,135.98,0,1,2,59,9
81,MH Cross (SCOT),2017-2019,24,20,5,449,66*,29.93,374,120.05,0,4,2,41,11
82,Rameez Shahzad (UAE),2016-2019,22,21,3,449,54,24.94,404,111.13,0,1,2,37,13
83,SPD Smith (AUS),2016-2020,19,16,4,446,80*,37.16,330,135.15,0,3,0,40,11
84,SK Raina (INDIA),2016-2018,20,17,0,442,69,26,316,139.87,0,2,2,37,19
85,Ahmed Faiz (MAL),2019-2020,18,17,1,436,58,27.25,373,116.89,0,1,0,39,11
86,S Chandramohan (SGP),2019-2020,15,15,1,436,66,31.14,366,119.12,0,3,3,44,16
87,GJ Delany (IRE),2019-2020,23,21,3,436,89*,24.22,290,150.34,0,2,0,38,20
88,Khawar Ali (OMAN),2017-2020,22,22,2,435,72*,21.75,422,103.08,0,2,2,48,9
89,KD Shah (HKG),2019-2020,20,20,3,425,79,25,358,118.71,0,3,2,37,11
90,Rahmanullah Gurbaz (AFG),2019-2021,11,11,0,419,87,38.09,281,149.11,0,3,2,32,27
91,Samiullah Shinwari (AFG),2016-2020,24,21,2,418,56,22,364,114.83,0,1,2,32,17
92,AB de Villiers (SA),2016-2017,11,11,2,414,65*,46,261,158.62,0,3,0,29,21
93,GD Phillips (NZ),2017-2021,22,19,2,410,108,24.11,291,140.89,1,1,0,31,24
94,MG Erasmus (NAM),2019-2019,16,14,3,407,72,37,293,138.9,0,4,0,33,20
95,MD Shanaka (SL),2016-2020,32,31,8,407,54,17.69,350,116.28,0,1,6,30,20
96,Mohammad Rizwan (PAK),2016-2021,20,14,4,404,104*,40.4,314,128.66,1,2,1,39,14
97,G Malla (NEPAL),2018-2020,16,14,0,403,107,28.78,305,132.13,1,1,0,31,21
98,PM Seelaar (NL),2017-2019,33,25,7,403,96*,22.38,352,114.48,0,1,0,28,7
99,SC Williams (ZIM),2018-2021,19,19,3,403,66,25.18,295,136.61,0,3,2,36,19
100,ADS Fletcher (WI),2016-2020,21,19,3,396,84*,24.75,355,111.54,0,2,1,29,22
101,Hussain Talat (PAK),2018-2021,18,18,2,394,63,24.62,333,118.31,0,2,1,37,5
102,N Pooran (WI),2016-2021,27,24,4,392,58,19.6,323,121.36,0,2,2,29,21
103,Sabbir Rahman (BDESH),2016-2019,21,21,0,392,77,18.66,331,118.42,0,1,2,35,14
104,HM Amla (SA/World),2016-2018,11,11,2,389,85,43.22,275,141.45,0,5,1,46,9
105,SJ Baard (NAM),2019-2019,13,13,2,387,92,35.18,305,126.88,0,4,1,32,13
106,Tamoor Sajjad (QAT),2019-2020,16,15,4,380,68,34.54,280,135.71,0,1,1,31,15
107,SO Hetmyer (WI),2018-2020,27,23,3,379,56,18.95,324,116.97,0,1,3,24,20
108,J Rasu (VAN),2019-2019,13,13,0,374,74,28.76,338,110.65,0,2,0,27,16
109,Aqib Ilyas (OMAN),2017-2019,17,17,3,373,60,26.64,315,118.41,0,2,1,42,7
110,DP Conway (NZ),2020-2021,11,9,2,366,99*,52.28,252,145.23,0,3,0,36,11
111,MP Stoinis (AUS),2017-2021,27,22,7,366,78,24.4,273,134.06,0,1,1,33,13
112,JW Jenner (JER),2019-2019,17,17,2,365,71,24.33,299,122.07,0,3,2,24,14
113,HT Tector (IRE),2019-2020,20,18,4,364,60,26,271,134.31,0,1,0,27,11
114,JP Duminy (SA),2016-2019,13,13,6,363,64*,51.85,242,150,0,3,0,21,19
115,NS Dhaliwal (CAN),2019-2019,12,11,2,361,69,40.11,291,124.05,0,3,0,22,16
116,HH Pandya (INDIA),2016-2021,34,24,7,361,42*,21.23,247,146.15,0,0,1,18,24
117,Chirag Suri (UAE),2018-2020,12,12,2,352,75,35.2,304,115.78,0,3,0,34,7
118,R Powell (WI),2017-2021,30,22,3,344,54,18.1,285,120.7,0,2,2,29,14
119,A Vala (PNG),2017-2019,20,18,3,344,68,22.93,297,115.82,0,2,0,29,10
120,Asif Ali (PAK),2018-2021,26,25,6,338,41*,17.78,266,127.06,0,0,1,15,19
121,H Gori (CZK-R),2019-2020,11,11,0,337,66,30.63,255,132.15,0,1,1,36,17
122,NR Kumar (CAN),2019-2019,12,10,2,337,83,42.12,241,139.83,0,3,1,24,12
123,N Davin (NAM),2019-2019,16,16,1,335,54,22.33,216,155.09,0,1,1,33,15
124,SA Edwards (NL),2018-2019,29,22,8,334,42*,23.85,229,145.85,0,0,1,33,6
125,DS Airee (NEPAL),2018-2020,21,18,2,330,47*,20.62,308,107.14,0,0,0,23,6
126,Faisal Javed (QAT),2019-2019,15,15,0,330,61,22,212,155.66,0,2,1,45,11
127,RE van der Merwe (NL),2017-2019,22,17,7,329,75*,32.9,243,135.39,0,2,3,31,6
128,Mohamed Rishwan (Mald),2019-2020,14,13,0,327,67,25.15,312,104.8,0,3,0,29,15
129,Yasir Ali (ESP),2019-2020,11,11,4,325,80*,46.42,280,116.07,0,2,1,23,15
130,RN ten Doeschate (NL),2018-2019,13,13,6,319,59,45.57,234,136.32,0,2,1,16,12
131,BDH Stevens (JER),2019-2019,17,17,1,316,44,19.75,315,100.31,0,0,1,30,6
132,BRM Taylor (ZIM),2018-2020,17,17,1,315,59*,19.68,281,112.09,0,1,1,39,7
133,Manpreet Singh (SGP),2019-2020,15,14,2,312,42*,26,267,116.85,0,0,0,21,6
134,N Nipiko (VAN),2019-2019,14,14,2,312,62,26,297,105.05,0,2,1,16,13
135,S Bau (PNG),2017-2019,20,14,3,309,40*,28.09,292,105.82,0,0,0,21,8
136,CR Brathwaite (WI),2016-2019,38,25,6,308,37*,16.21,270,114.07,0,0,3,13,22
137,MJ Santner (NZ),2016-2021,46,33,14,306,37,16.1,227,134.8,0,0,3,22,11
138,AD Russell (WI),2016-2020,13,13,5,305,47,38.12,165,184.84,0,0,0,14,32
139,LD Chandimal (SL),2016-2021,18,17,4,304,58,23.38,281,108.18,0,2,0,22,6
140,NJ Ferraby (JER),2019-2019,14,14,1,303,81*,23.3,257,117.89,0,1,2,38,2
141,PJ Moor (ZIM),2016-2019,15,14,2,301,92*,25.08,231,130.3,0,1,0,20,20
142,MS Wade (AUS),2016-2021,13,13,0,301,80,23.15,220,136.81,0,2,0,28,10
143,H Klaasen (SA),2018-2021,16,16,3,300,69,23.07,200,150,0,2,1,20,16
144,KD Karthik (ICC/INDIA),2017-2019,23,18,12,299,48,49.83,190,157.36,0,0,1,28,14
145,H Masakadza (ZIM),2016-2019,19,19,0,299,71,15.73,286,104.54,0,1,1,25,17
146,RP Burl (ZIM),2018-2021,20,17,4,297,57*,22.84,267,111.23,0,1,0,17,11
147,Shaheryar Butt (Belg),2019-2020,7,7,3,294,125*,73.5,166,177.1,1,1,0,21,21
148,S Wickramasekara (CZK-R),2019-2020,9,9,2,294,104*,42,163,180.36,1,2,0,21,23
149,SW Billings (ENG/ICC),2016-2020,24,21,4,292,87,17.17,227,128.63,0,1,1,28,8
150,TM Head (AUS),2016-2018,14,13,3,291,48*,29.1,221,131.67,0,0,0,18,9
151,Haroon Arshad (HKG),2019-2020,17,15,4,289,68,26.27,213,135.68,0,1,0,22,9
152,CJA Amini (PNG),2019-2019,17,13,3,287,60,28.7,227,126.43,0,2,2,12,12
153,F Behardien (SA),2016-2018,14,13,7,286,64*,47.66,201,142.28,0,1,0,19,11
154,DM de Silva (SL),2016-2020,14,13,0,286,62,22,254,112.59,0,2,0,26,5
155,BA Stokes (ENG),2016-2021,20,16,3,281,47*,21.61,219,128.31,0,0,0,17,13
156,TC Bruce (NZ),2017-2020,17,17,2,279,59*,18.6,228,122.36,0,2,2,24,7
157,Zeeshan Maqsood (OMAN),2017-2020,19,15,4,278,56,25.27,282,98.58,0,1,0,30,5
158,Mohammed Rizlan (QAT),2019-2020,22,18,7,276,38*,25.09,277,99.63,0,0,1,14,13
159,WU Tharanga (SL),2017-2018,16,16,1,276,47,18.4,215,128.37,0,0,1,30,9
160,L Siaka (PNG),2017-2019,20,16,2,274,39,19.57,235,116.59,0,0,3,25,6
161,B Bhandari (NEPAL),2019-2020,20,15,4,273,58*,24.81,226,120.79,0,2,0,21,12
162,CR Ervine (ZIM),2019-2020,9,9,1,273,68*,34.12,215,126.97,0,3,0,27,11
163,Ravinderpal Singh (CAN),2019-2019,12,10,2,266,101,33.25,177,150.28,1,1,1,13,19
164,PK Matautaava (VAN),2019-2019,10,10,0,265,103,26.5,156,169.87,1,1,2,19,20
165,AD Mathews (SL),2016-2021,15,14,2,265,73*,22.08,251,105.57,0,2,1,12,11
166,SR Taylor (USA),2019-2019,8,8,1,265,72,37.85,207,128.01,0,2,1,28,10
167,J Charles (WI),2016-2016,10,10,0,261,79,26.1,188,138.82,0,2,0,24,14
168,DMW Rawlins (BMUDA),2019-2019,11,11,0,261,63,23.72,201,129.85,0,1,1,23,15
169,Shahid Wasif (HKG),2016-2020,18,17,4,261,50,20.07,233,112.01,0,1,1,20,8
170,Adnan Idrees (KUW),2019-2019,6,6,0,259,80,43.16,157,164.96,0,3,0,35,9
171,SR Thompson (IRE),2017-2019,24,19,5,259,56,18.5,190,136.31,0,1,0,17,12
172,MM Ali (ENG),2016-2020,21,18,7,255,61,23.18,177,144.06,0,1,1,19,14
173,SF Mire (ZIM),2018-2019,9,8,0,253,94,31.62,196,129.08,0,2,0,23,13
174,Sarfaraz Ali (BHR),2019-2020,8,8,0,253,59,31.62,148,170.94,0,2,0,24,19
175,Usman Ghani (AFG),2016-2021,13,13,2,251,73,22.81,238,105.46,0,1,0,21,7
176,Zaheer Ibrahim (QAT),2019-2020,20,18,3,251,50,16.73,228,110.08,0,1,2,26,8
177,T Bavuma (SA),2019-2020,8,8,1,249,49,35.57,187,133.15,0,0,0,20,7
178,CG Williams (NAM),2019-2019,13,12,3,249,68*,27.66,210,118.57,0,1,1,15,10
179,Muhammad Kashif (KUW),2019-2020,15,12,4,248,53,31,230,107.82,0,2,1,15,13
180,JP Kotze (NAM),2019-2019,12,12,1,245,101*,22.27,193,126.94,1,0,1,21,13
181,Najeeb Tarakai (AFG),2016-2019,10,10,0,244,90,24.4,193,126.42,0,1,1,19,13
182,CN Ackermann (NL),2019-2019,11,11,3,243,43*,30.37,196,123.97,0,0,0,18,5
183,IA Karim (KENYA),2019-2019,9,9,3,239,71*,39.83,217,110.13,0,2,0,28,1
184,D Ramdin (WI),2016-2019,18,15,5,239,44*,23.9,225,106.22,0,0,1,12,11
185,Ashfaq Ahmed (UAE),2018-2019,12,12,0,238,75,19.83,185,128.64,0,3,2,32,6
186,J Butler (GUE),2019-2020,10,9,2,238,65*,34,241,98.75,0,1,0,25,1
187,SD Hope (WI),2017-2019,13,11,0,238,55,21.63,175,136,0,2,1,24,10
188,N Vanua (PNG),2017-2019,19,17,5,238,54,19.83,163,146.01,0,1,4,9,16
189,K Dasan (BUL),2019-2020,10,9,1,237,74,29.62,222,106.75,0,1,0,19,4
190,S Davizi (CZK-R),2019-2020,6,6,0,237,101,39.5,196,120.91,1,1,0,19,10
191,F Damiao Couana (Moz),2019-2019,7,7,1,233,71*,38.83,179,130.16,0,1,0,16,14
192,GH Dockrell (IRE),2017-2020,38,27,14,228,34*,17.53,180,126.66,0,0,1,13,6
193,I Udana (SL),2017-2020,23,18,8,228,84*,22.8,150,152,0,1,1,15,13
194,Waqas Barkat (HKG),2017-2020,20,17,2,227,37,15.13,241,94.19,0,0,2,15,0
195,C Bisson (JER),2019-2019,14,14,2,226,54,18.83,177,127.68,0,1,3,24,5
196,CA Lynn (AUS),2018-2018,13,12,0,226,44,18.83,173,130.63,0,0,1,25,10
197,Inam-ul-Haq (QAT),2019-2019,11,11,2,225,73*,25,205,109.75,0,1,1,28,2
198,Shafiq Sharif (MAL),2019-2019,10,10,0,225,53,22.5,171,131.57,0,1,2,32,5
199,CJ Anderson (NZ),2016-2018,10,10,2,222,94*,27.75,151,147.01,0,1,1,13,13
200,Haider Ali (PAK),2020-2021,10,10,1,222,66*,24.66,162,137.03,0,2,0,17,12
201,MR Marsh (AUS),2016-2021,13,13,2,222,45,20.18,205,108.29,0,0,1,12,9
202,JDS Neesham (NZ),2017-2021,16,12,4,222,48*,27.75,130,170.76,0,0,1,16,16
203,DG Blampied (JER),2019-2019,17,15,6,221,43*,24.55,222,99.54,0,0,1,14,0
204,DAS Gunaratne (SL),2017-2017,11,11,3,221,84*,27.62,166,133.13,0,2,2,19,6
205,R Satheesan (ROM),2019-2020,8,6,2,220,92*,55,128,171.87,0,2,0,15,11
206,Mohammad Naim (BDESH),2019-2020,6,6,0,219,81,36.5,183,119.67,0,1,1,25,5
207,Aizaz Khan (HKG),2016-2020,20,18,1,216,44,12.7,195,110.76,0,0,3,15,2
208,Imad Wasim (PAK),2016-2020,40,25,7,216,47,12,153,141.17,0,0,5,27,3
209,Khurram Nawaz (OMAN),2017-2020,19,14,3,216,58,19.63,185,116.75,0,1,0,12,10
210,CAK Walton (WI),2016-2018,17,15,0,216,40,14.4,192,112.5,0,0,4,23,10
211,SS McKechnie (HKG),2019-2020,19,17,7,215,44,21.5,223,96.41,0,0,2,14,2
212,Mohamed Arief (MAL),2019-2020,12,11,2,215,52*,23.88,171,125.73,0,1,0,23,5
213,JM Vince (ENG),2016-2019,9,9,0,215,59,23.88,170,126.47,0,1,0,22,5
214,B Ward (JER),2019-2019,13,12,3,215,58*,23.88,160,134.37,0,1,1,8,15
215,Faheem Ashraf (PAK),2017-2021,35,24,7,214,31,12.58,161,132.91,0,0,4,11,14
216,PD Hennessy (ESP),2019-2020,10,8,1,214,71,30.57,177,120.9,0,2,1,13,9
217,S Muniandy (MAL),2019-2020,24,20,8,214,27,17.83,155,138.06,0,0,2,14,12
218,Iftikhar Ahmed (PAK),2019-2021,12,10,5,212,62*,42.4,162,130.86,0,1,0,19,5
219,Aarif Sheikh (NEPAL),2018-2020,14,12,2,209,39*,20.9,197,106.09,0,0,0,20,4
220,R Rohan (SGP),2019-2020,13,12,0,209,49,17.41,175,119.42,0,0,2,25,6
221,Bilal Zalmai (Aut),2019-2019,5,4,1,208,111*,69.33,109,190.82,1,0,0,16,16
222,Ghulam Shabber (UAE),2016-2019,17,14,3,208,58*,18.9,182,114.28,0,1,0,24,4
223,BBJL Perera (ITA),2019-2019,8,7,1,208,67,34.66,144,144.44,0,1,0,23,8
224,MC Henriques (AUS),2016-2020,10,9,4,207,62*,41.4,148,139.86,0,2,0,9,9
225,Simi Singh (IRE),2018-2020,24,23,4,207,57*,10.89,178,116.29,0,1,6,13,7
226,Faisal Khan (Saudi),2019-2020,7,7,1,206,83*,34.33,97,212.37,0,1,1,22,14
227,R Panchal (ESP),2019-2020,11,9,4,206,71*,41.2,197,104.56,0,1,0,9,7
228,JJ Smit (NAM),2019-2019,12,10,2,206,59,25.75,128,160.93,0,1,0,10,14
229,T Banton (ENG),2019-2020,9,9,0,205,71,22.77,143,143.35,0,1,0,19,9
230,W Barresi (NL),2017-2019,10,10,2,203,53*,25.37,204,99.5,0,1,0,19,2
231,Khalid Latif (PAK),2016-2016,6,6,2,203,59*,50.75,178,114.04,0,1,0,22,5
232,KS Leverock (BMUDA),2019-2019,12,12,2,201,43*,20.1,165,121.81,0,0,3,16,11
233,S Pokhriyal (CZK-R),2019-2020,9,9,1,200,79,25,186,107.52,0,1,1,31,3
234,VB Chikkannaiah (GER),2019-2020,9,9,1,199,70*,24.87,212,93.86,0,2,1,12,4
235,DM Gondaria (KENYA),2019-2019,9,9,2,199,85*,28.42,157,126.75,0,1,0,12,6
236,Aminuddin Ramly (MAL),2019-2020,19,17,4,199,33,15.3,142,140.14,0,0,1,9,12
237,Umar Adam (Mald),2019-2020,14,13,1,198,53,16.5,169,117.15,0,1,1,21,6
238,Aamir Kaleem (OMAN),2019-2020,17,13,2,196,46,17.81,181,108.28,0,0,2,15,7
239,WIA Fernando (SL),2019-2020,15,14,0,195,37,13.92,194,100.51,0,0,1,16,4
240,Karim Janat (AFG),2016-2021,25,16,2,194,26,13.85,185,104.86,0,0,2,15,7
241,Ahmed Hassan (Mald),2019-2019,11,10,0,189,53,18.9,192,98.43,0,1,0,18,2
242,CK Kapugedera (SL),2016-2017,10,9,1,189,50,23.62,161,117.39,0,1,0,17,5
243,Sharjeel Khan (PAK),2016-2016,7,7,0,188,59,26.85,140,134.28,0,1,0,29,5
244,Ehsan Khan (HKG),2016-2020,23,15,8,187,42*,26.71,158,118.35,0,0,1,11,10
245,WTS Porterfield (IRE),2016-2018,13,13,0,186,39,14.3,168,110.71,0,0,1,14,6
246,UT Khawaja (AUS),2016-2016,6,6,0,185,58,30.83,141,131.2,0,1,0,24,4
247,V Vijh (LUX),2019-2020,8,8,2,185,64*,30.83,202,91.58,0,1,0,17,4
248,CO Obuya (KENYA),2019-2019,9,9,0,184,63,20.44,186,98.92,0,1,0,10,7
249,Shadab Khan (PAK),2017-2020,46,19,6,183,42,14.07,147,124.48,0,0,3,11,9
250,E Chigumbura (ZIM),2016-2020,13,13,2,182,54*,16.54,153,118.95,0,1,1,9,14
251,RR Patel (KENYA),2019-2019,8,7,2,181,55,36.2,116,156.03,0,2,0,15,11
252,C Tommy (VAN),2019-2019,12,11,0,180,47,16.36,191,94.24,0,0,2,6,8
253,CAJ Meschede (GER),2019-2019,5,5,1,179,67,44.75,115,155.65,0,1,1,9,14
254,Sidhant Singh (SGP),2019-2020,11,9,2,178,77,25.42,135,131.85,0,2,1,15,6
255,Karan KC (NEPAL),2018-2020,23,14,3,177,40*,16.09,119,148.73,0,0,1,9,13
256,AC Agar (AUS),2016-2021,31,17,4,176,29,13.53,156,112.82,0,0,2,13,5
257,Ammad Uddin (BHR),2019-2020,8,8,2,176,41*,29.33,94,187.23,0,0,0,18,10
258,AT Carey (AUS),2018-2020,30,18,4,176,37*,12.57,151,116.55,0,0,0,13,6
259,Kaleem Shah (Moz),2019-2019,7,7,1,176,72*,29.33,170,103.52,0,1,1,21,4
260,EMDY Munaweera (SL),2017-2017,9,9,0,176,53,19.55,122,144.26,0,1,1,20,7
261,JT Smuts (SA),2017-2021,13,13,0,174,45,13.38,165,105.45,0,0,1,18,6
262,TG Southee (NZ),2017-2021,42,20,8,174,39,14.5,105,165.71,0,0,2,10,13
263,Shafiqullah (AFG),2016-2019,18,17,5,173,35*,14.41,111,155.85,0,0,3,13,12
264,Nouman Sarwar (QAT),2019-2019,14,9,6,172,47*,57.33,128,134.37,0,0,1,16,6
265,HAM Shah (DEN),2019-2019,9,8,0,172,40,21.5,168,102.38,0,0,0,18,2
266,MNR Cooray (Mald),2019-2020,7,6,1,170,56*,34,148,114.86,0,1,0,21,3
267,S Prasanna (SL),2016-2017,14,14,4,170,37*,17,129,131.78,0,0,0,9,11
268,Anwar Arudin (MAL),2019-2020,17,17,0,168,32,9.88,177,94.91,0,0,5,19,5
269,Mosaddek Hossain (BDESH),2017-2019,13,12,4,168,34*,21,154,109.09,0,0,1,9,5
270,KMA Paul (WI),2018-2020,20,14,6,168,29,21,143,117.48,0,0,1,8,11
271,Fiaz Ahmed (BHR),2019-2020,8,8,3,166,62*,33.2,127,130.7,0,1,1,8,11
272,HJ Jordaan (THAI),2019-2020,8,8,1,166,37*,23.71,210,79.04,0,0,0,10,4
273,Awais Ahmed (ESP),2019-2020,11,6,2,165,102*,41.25,141,117.02,1,0,1,7,7
274,Haris Sohail (PAK),2018-2019,10,9,1,165,52,20.62,155,106.45,0,2,1,15,2
275,DJ Bravo (WI),2016-2021,18,12,2,164,55,16.4,177,92.65,0,1,1,10,6
276,Tarun Sharma (Mex),2019-2019,8,8,1,164,49*,23.42,160,102.5,0,0,1,12,6
