Player_name,NATIONALITY,team_name,international_matches,ipl_matches_older,ipl_matches_New,international_Inns,ipl_Inns_older,ipl_Inns_New,international_Runs,ipl_Runs_older,ipl_Runs_New,international_HS,ipl_HS_older,ipl_HS_New,international_Ave,ipl_Ave_older,ipl_Ave_New,international_BF,ipl_BF_older,ipl_BF_New,international_SR,ipl_SR_older,ipl_SR_New,international_Century,ipl_Century_older,ipl_Century_New,international_fifty,ipl_fifty_older,ipl_fifty_New,international_ducks,ipl_ducks_older,ipl_ducks_New,international_fours,ipl_fours_older,ipl_fours_New,international_sixes,ipl_sixes_older,ipl_sixes_New,international_dream_11_points,ipl_dream_11_points_older,ipl_dream_11_points_New,international_consistency,ipl_consistency_older,ipl_consistency_New,dream_11_points_final_points
SNThakur,IND,CSK,20.0,13.0,32.0,4.0,4.0,6.0,59.0,7.0,41.0,22*,7.0,0.0,29.5,0.0,0.0,31,9.0,33.0,190.32,116.66,557.14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,4.0,4.0,0.0,1.0,74.0,-4.0,53.0,18.5,-1.0,8.83,9.67
KRabada,INT,DC,13.0,6.0,29.0,5.0,3.0,12.0,32.0,55.0,70.0,22,44.0,0.0,8,18.33,0.0,33,64.0,64.0,96.96,85.93,207.61,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,5.0,4.0,2.0,1.0,3.0,35.0,60.0,76.0,7.0,20.0,6.33,9.4
DLChahar,IND,CSK,13.0,3.0,43.0,4.0,1.0,9.0,1.0,14.0,64.0,1*,14.0,0.0,0,14.0,0.0,1,6.0,50.0,100.0,233.33,308.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,4.0,1.0,24.0,70.0,0.25,24.0,7.78,8.93
DTChristian,INT,RCB,1.0,36.0,4.0,1.0,31.0,3.0,9.0,420.0,26.0,9,90.0,0.0,9,65.07,0.0,13,341.0,33.0,69.23,443.59000000000003,78.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,0.0,18.0,1.0,7.0,474.0,22.0,7.0,15.29,7.33,8.9
AJTye,INT,RR,25.0,6.0,21.0,9.0,3.0,10.0,57.0,53.0,38.0,20,25.0,0.0,11.4,26.5,0.0,51,30.0,46.0,111.76,176.66,184.20999999999998,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,62.0,69.0,34.0,6.89,23.0,3.4,8.56
KCCariappa,IND,RR,0.0,9.0,1.0,0.0,4.0,1.0,0.0,15.0,9.0,0,13.0,0.0,0,14.0,0.0,0,18.0,3.0,0.0,146.75,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,11.0,0.0,2.75,11.0,8.52
PrabhsimranSingh,IND,KXIP,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,15.0,0,0.0,0.0,0,0.0,0.0,0,0.0,15.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,8.5,8.5
SGopal,IND,RR,0.0,6.0,39.0,0.0,3.0,16.0,0.0,14.0,150.0,0,14.0,0.0,0,13.0,0.0,0,27.0,130.0,0.0,222.5,342.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,9.0,164.0,0.0,3.0,10.25,8.07
KuldeepYadav,IND,KKR,21.0,12.0,30.0,2.0,2.0,9.0,20.0,20.0,37.0,16,16.0,0.0,20,10.0,0.0,20,22.0,53.0,100.0,90.9,261.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,22.0,22.0,36.0,11.0,11.0,4.0,7.57
WashingtonSundar,IND,RCB,29.0,11.0,25.0,10.0,5.0,17.0,43.0,9.0,177.0,14*,5.0,0.0,7.16,9.0,0.0,30,12.0,136.0,143.33,75.0,321.22,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,0.0,15.0,3.0,0.0,6.0,48.0,7.0,202.0,4.8,1.4,11.88,7.56
HarbhajanSingh,IND,KKR,0.0,136.0,24.0,0.0,84.0,4.0,0.0,799.0,30.0,0,311.0,0.0,0,178.37999999999997,0.0,0,561.0,39.0,0.0,1410.31,113.88,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,76.0,3.0,0.0,41.0,1.0,0.0,963.0,23.0,0.0,11.46,5.75,7.46
PPChawla,IND,MI,0.0,129.0,35.0,0.0,69.0,12.0,0.0,515.0,69.0,0,165.0,0.0,0,115.84,0.0,0,453.0,71.0,0.0,1077.1899999999998,192.92000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,49.0,5.0,0.0,15.0,3.0,0.0,574.0,72.0,0.0,8.32,6.0,6.7
NASaini,IND,RCB,10.0,0.0,26.0,2.0,0.0,5.0,11.0,0.0,29.0,11*,0.0,0.0,0,0.0,0.0,10,0.0,31.0,110.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,13.0,0.0,32.0,6.5,0.0,6.4,6.43
CAPujara,IND,CSK,0.0,30.0,0.0,0.0,22.0,0.0,0.0,390.0,0.0,0,172.0,0.0,0,95.49,0.0,0,391.0,0.0,0.0,486.74,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,50.0,0.0,0.0,4.0,0.0,0.0,454.0,-6.0,0.0,20.64,0.0,6.19
RashidKhan,INT,SRH,1.0,14.0,48.0,0.0,3.0,22.0,0.0,11.0,128.0,0,6.0,0.0,0,5.5,0.0,0,9.0,84.0,0.0,122.22,454.79999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,1.0,10.0,-6.0,13.0,152.0,0.0,4.33,6.91,6.14
MRMarsh,INT,SRH,13.0,20.0,1.0,13.0,14.0,1.0,222.0,225.0,0.0,45,97.0,0.0,20.18,66.0,0.0,205,196.0,1.0,108.29,391.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,9.0,0.0,9.0,14.0,0.0,250.0,262.0,-8.0,19.23,18.71,-8.0,5.78
